V1_clean	original_metadata	host_group	host_confidence	biosample_organism	manual_host	needs_review	biosample_host	biosample_isolation_source	biosample_organism_field	biosample_title	host_group_broad
DRR125246	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125247	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125248	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125249	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125250	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125251	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125252	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125253	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125254	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125255	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125256	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125257	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125258	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125259	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125260	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125261	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125262	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125263	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125264	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125265	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125266	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125267	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125268	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125269	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125270	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125271	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125272	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125273	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125274	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125275	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125276	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125277	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125278	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125279	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125280	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125281	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125282	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125283	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125284	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125285	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125286	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125287	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125288	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125289	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125290	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125291	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125292	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125293	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125294	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125295	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125296	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125297	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125298	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125299	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125300	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125301	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125302	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125303	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125304	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125305	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125306	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125307	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125308	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125309	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125310	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125311	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125312	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125313	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125314	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125315	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125316	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125317	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125318	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125319	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125320	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125321	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125322	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125323	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125324	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125325	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125326	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125327	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125328	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125329	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125330	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125331	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125332	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125333	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125334	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125335	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125336	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125337	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125338	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125339	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125340	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125341	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125342	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125343	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125344	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125345	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125346	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125347	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125348	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125349	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125350	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125351	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125352	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125353	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125354	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125355	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125356	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125357	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125358	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125359	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125360	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125361	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125362	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125363	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125364	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125365	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125366	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125367	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125368	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125370	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125371	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125372	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125373	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125374	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125375	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125376	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125377	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125378	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125379	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125380	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125381	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125382	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125383	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125384	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125385	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR125386	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR165196	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR165199	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
SRR25665165	Alipiopsitta xanthops	Avian	low	NA	NA	TRUE	NA	NA	NA	NA	Avian
SRR11095441	Anopheles coluzzii	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
DRR197017	human viral metagenome	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197018	human viral metagenome	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197027	human viral metagenome	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197416	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197417	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197418	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197419	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197420	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197421	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197422	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197423	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197424	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197425	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197426	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197427	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197428	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197429	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197430	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197431	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197432	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197433	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197434	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197435	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197436	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197437	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197438	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197439	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197440	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197442	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197443	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197444	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197445	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197446	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197447	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197448	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197449	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197450	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197451	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197452	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197453	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197454	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197455	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197456	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197457	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197458	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197459	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197460	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197461	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197462	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197463	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197464	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197465	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197466	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197467	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197468	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR197469	Human papillomavirus	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
SRR2300214	Anopheles coluzzii	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
ERR11041653	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
ERR2532623	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
ERR2532659	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
ERR2643802	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
DRR235135	Mus musculus	Rodent	high	NA	NA	FALSE	NA	NA	NA	NA	Rodent
DRR316882	human viral metagenome	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR319698	Misgurnus anguillicaudatus	Ray-finned Fish	high	NA	NA	FALSE	NA	NA	NA	NA	Ray-finned Fish
DRR322178	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR322188	Homo sapiens	Human	high	NA	NA	FALSE	NA	NA	NA	NA	Human
ERR2643821	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
ERR2643840	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
ERR2654729	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
ERR2654731	Anopheles gambiae	Other	low	NA	NA	TRUE	NA	NA	NA	NA	Other
DRR438756	human skin metagenome	Human	medium	NA	NA	FALSE	NA	NA	NA	NA	Human
DRR452111	bovine gut metagenome	Bovine	medium	NA	NA	FALSE	NA	NA	NA	NA	Bovine
DRR472266	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472267	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472268	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472269	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472270	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472271	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472272	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472273	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472274	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472275	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472276	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472277	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472278	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472279	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472280	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472281	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472282	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472283	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472284	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472285	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472287	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472288	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472289	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472290	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472291	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472292	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472293	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472294	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472295	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472296	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472297	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472298	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472299	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472300	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472302	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
DRR472303	metagenome	Human	medium	Homo sapiens	NA	FALSE	NA	NA	NA	NA	Human
