"V1"	"ncbi_host_broad"	"ncbi_host_specific"	"n_members"	"n_concordant"	"pct_concordant"
"MH777315.2_72_1271"	"Human"	"Human"	8	8	1
"MH777325.2_132_1331"	"Human"	"Human"	3	3	1
"MH777328.2_123_1322"	"Human"	"Human"	3	3	1
"MH777331.2_129_1346"	"Human"	"Human"	5	5	1
"MH777334.1_126_1355"	"Human"	"Human"	7	7	1
"MH777343.2_72_1274"	"Human"	"Human"	1	1	1
"MH777347.2_72_1274"	"Human"	"Human"	17	17	1
"MH777350.2_117_1325"	"Human"	"Human"	31	31	1
"MH777351.2_144_1355"	"Human"	"Human"	3	3	1
"MH777352.2_156_1373"	"Human"	"Human"	4	4	1
"MH777355.2_69_1277"	"Human"	"Human"	10	10	1
"MH777356.2_96_1295"	"Human"	"Human"	6	6	1
"MH777357.2_72_1274"	"Human"	"Human"	15	15	1
"MH777358.2_75_1295"	"Human"	"Human"	22	22	1
"MH777368.1_129_1340"	"Human"	"Human"	39	39	1
"MH777377.2_69_1286"	"Human"	"Human"	14	14	1
"MH777378.1_99_1301"	"Human"	"Human"	6	6	1
"MH777379.2_69_1292"	"Human"	"Human"	16	16	1
"MH777380.2_87_1304"	"Human"	"Human"	3	3	1
"MH777383.2_90_1307"	"Human"	"Human"	20	20	1
"MH777384.2_87_1271"	"Human"	"Human"	4	4	1
"MH777385.2_69_1286"	"Human"	"Human"	3	3	1
"MH777388.2_69_1286"	"Human"	"Human"	4	4	1
"MH972558.1_96_1316"	"Human"	"Human"	5	5	1
"MH972562.2_63_1259"	"Human"	"Human"	9	9	1
"MK463910.1_51_1229"	"Human"	"Human"	3	3	1
"MK645900.1_99_1313"	"Human"	"Human"	15	15	1
"MW535770.1_99_1307"	"Human"	"Human"	6	6	1
"U31784.1_162_1343"	"Human"	"Human"	1	1	1
"AF070938.1_48_1226"	"Human"	"Human"	102	101	0.990196078431373
"HM999999.1_168_1394"	"Human"	"Human"	82	81	0.98780487804878
"D21208.1_183_1361"	"Human"	"Human"	73	72	0.986301369863014
"JX444072.1_63_1253"	"Human"	"Human"	72	71	0.986111111111111
"MF588749.1_135_1352"	"Human"	"Human"	67	66	0.985074626865672
"NC_001691.1_60_1286"	"Human"	"Human"	58	57	0.982758620689655
"MF588712.1_48_1256"	"Human"	"Human"	54	53	0.981481481481482
"MH777286.2_75_1298"	"Human"	"Human"	54	53	0.981481481481482
"A28090.1_126_1301"	"Human"	"Human"	205	201	0.980487804878049
"AJ400628.2_249_1436"	"Human"	"Human"	48	47	0.979166666666667
"AF293960.1_276_1460"	"Human"	"Human"	45	44	0.977777777777778
"HW350065.1_216_1397"	"Human"	"Human"	41	40	0.975609756097561
"HW350056.1_84_1259"	"Human"	"Human"	39	38	0.974358974358974
"HE963117.1_42_1214"	"Human"	"Human"	76	74	0.973684210526316
"MF588724.1_153_1361"	"Human"	"Human"	76	74	0.973684210526316
"MH777298.2_138_1340"	"Human"	"Human"	36	35	0.972222222222222
"MH777175.1_69_1277"	"Human"	"Human"	34	33	0.970588235294118
"MH777281.1_81_1265"	"Human"	"Human"	34	33	0.970588235294118
"AF436129.1_231_1394"	"Human"	"Human"	67	65	0.970149253731343
"KX781285.1_147_1364"	"Human"	"Human"	33	32	0.96969696969697
"HM999997.1_75_1280"	"Human"	"Human"	32	31	0.96875
"EU541441.1_141_1352"	"Human"	"Human"	31	30	0.967741935483871
"FN677755.1_123_1331"	"Human"	"Human"	31	30	0.967741935483871
"HM999990.1_138_1343"	"Human"	"Human"	30	29	0.966666666666667
"PP718716.1_69_1265"	"Human"	"Human"	58	56	0.96551724137931
"X74470.1_177_1403"	"Human"	"Human"	29	28	0.96551724137931
"KF436859.1_87_1274"	"Human"	"Human"	28	27	0.964285714285714
"JN211195.1_96_1304"	"Human"	"Human"	131	126	0.961832061068702
"KF006399.1_87_1295"	"Human"	"Human"	26	25	0.961538461538462
"MF588719.1_72_1274"	"Human"	"Human"	25	24	0.96
"Y15174.1_63_1268"	"Human"	"Human"	142	136	0.957746478873239
"MF588717.1_69_1265"	"Human"	"Human"	23	22	0.956521739130435
"FB344172.1_45_1226"	"Human"	"Human"	160	153	0.95625
"MF588721.1_90_1289"	"Human"	"Human"	21	20	0.952380952380952
"MH777312.2_93_1286"	"Human"	"Human"	21	20	0.952380952380952
"KR816175.1_60_1286"	"Human"	"Human"	62	59	0.951612903225806
"MF588730.1_129_1328"	"Human"	"Human"	41	39	0.951219512195122
"MF588693.1_69_1280"	"Human"	"Human"	39	37	0.948717948717949
"EF546469.1_84_1253"	"Human"	"Human"	95	90	0.947368421052632
"KT698168.1_78_1289"	"Human"	"Human"	19	18	0.947368421052632
"FN598907.1_90_1283"	"Human"	"Human"	55	52	0.945454545454545
"MF588746.1_153_1373"	"Human"	"Human"	55	52	0.945454545454545
"MF588699.1_138_1355"	"Human"	"Human"	73	69	0.945205479452055
"MF588698.1_57_1274"	"Human"	"Human"	36	34	0.944444444444444
"GQ916646.1_81_1289"	"Human"	"Human"	88	83	0.943181818181818
"AY382779.2_117_1325"	"Human"	"Human"	69	65	0.942028985507246
"OQ930234.1_117_1325"	"Human"	"Human"	69	65	0.942028985507246
"KP692116.1_102_1334"	"Human"	"Human"	17	16	0.941176470588235
"AB542808.1_90_1274"	"Human"	"Human"	100	94	0.94
"EU918767.1_123_1304"	"Human"	"Human"	165	155	0.939393939393939
"LR861871.1_120_1301"	"Human"	"Human"	65	61	0.938461538461538
"JF966371.1_141_1358"	"Human"	"Human"	129	121	0.937984496124031
"KC311731.2_87_1301"	"Human"	"Human"	16	15	0.9375
"KF791917.1_135_1334"	"Human"	"Human"	16	15	0.9375
"MH972563.2_96_1310"	"Human"	"Human"	16	15	0.9375
"HE793047.1_42_1220"	"Human"	"Human"	47	44	0.936170212765957
"MF588691.1_87_1277"	"Human"	"Human"	31	29	0.935483870967742
"JX413106.1_132_1361"	"Human"	"Human"	15	14	0.933333333333333
"KC113191.1_162_1373"	"Human"	"Human"	72	67	0.930555555555556
"MP134368.1_42_1211"	"Human"	"Human"	258	240	0.930232558139535
"MF588704.1_78_1310"	"Human"	"Human"	57	53	0.929824561403509
"MF588682.1_90_1286"	"Human"	"Human"	85	79	0.929411764705882
"MH777173.2_81_1271"	"Human"	"Human"	14	13	0.928571428571429
"MH777287.2_141_1340"	"Human"	"Human"	14	13	0.928571428571429
"GQ845446.1_96_1316"	"Human"	"Human"	175	162	0.925714285714286
"KR816183.1_93_1313"	"Human"	"Human"	175	162	0.925714285714286
"HM999987.1_153_1358"	"Human"	"Human"	13	12	0.923076923076923
"HW350071.1_234_1418"	"Human"	"Human"	13	12	0.923076923076923
"MF588718.1_75_1274"	"Human"	"Human"	13	12	0.923076923076923
"MF588780.1_60_1253"	"Human"	"Human"	26	24	0.923076923076923
"AJ620205.1_201_1379"	"Human"	"Human"	51	47	0.92156862745098
"FJ947080.1_93_1310"	"Human"	"Human"	102	94	0.92156862745098
"X74467.1_63_1292"	"Human"	"Human"	215	198	0.92093023255814
"AY382778.1_57_1286"	"Human"	"Human"	25	23	0.92
"MF176072.1_126_1319"	"Human"	"Human"	25	23	0.92
"MH777346.2_120_1307"	"Human"	"Human"	25	23	0.92
"AF436128.1_102_1283"	"Human"	"Human"	48	44	0.916666666666667
"MF588688.1_75_1283"	"Human"	"Human"	24	22	0.916666666666667
"MH777258.2_69_1289"	"Human"	"Human"	12	11	0.916666666666667
"MK620843.1_75_1298"	"Human"	"Human"	144	132	0.916666666666667
"KY969593.1_63_1286"	"Human"	"Human"	221	202	0.914027149321267
"KR816179.1_93_1304"	"Human"	"Human"	23	21	0.91304347826087
"MF588741.1_129_1352"	"Human"	"Human"	46	42	0.91304347826087
"MF588754.1_75_1286"	"Human"	"Human"	46	42	0.91304347826087
"EF422221.1_114_1319"	"Human"	"Human"	136	124	0.911764705882353
"AF217526.1_42_1211"	"Human"	"Human"	77	70	0.909090909090909
"MF588720.1_150_1358"	"Human"	"Human"	121	110	0.909090909090909
"MF588737.1_114_1331"	"Human"	"Human"	22	20	0.909090909090909
"MH777209.1_81_1295"	"Human"	"Human"	33	30	0.909090909090909
"MH777284.2_141_1334"	"Human"	"Human"	11	10	0.909090909090909
"MH777306.1_81_1289"	"Human"	"Human"	132	120	0.909090909090909
"MH777333.1_48_1256"	"Human"	"Human"	11	10	0.909090909090909
"Y15173.1_63_1268"	"Human"	"Human"	141	128	0.907801418439716
"HG421739.1_126_1331"	"Human"	"Human"	42	38	0.904761904761905
"JX429973.1_90_1295"	"Human"	"Human"	31	28	0.903225806451613
"BK066896.1_69_1280"	"Human"	"Human"	10	9	0.9
"KT236450.1_117_1292"	"Human"	"Human"	20	18	0.9
"KX781284.1_135_1352"	"Human"	"Human"	10	9	0.9
"MH777381.2_99_1307"	"Human"	"Human"	10	9	0.9
"KY652675.1_90_1283"	"Human"	"Human"	107	96	0.897196261682243
"EF177176.1_198_1370"	"Human"	"Human"	436	391	0.896788990825688
"EF177182.1_198_1370"	"Human"	"Human"	436	391	0.896788990825688
"GU225708.1_129_1319"	"Human"	"Human"	29	26	0.896551724137931
"MH777234.1_48_1259"	"Human"	"Human"	19	17	0.894736842105263
"EU541442.1_87_1316"	"Human"	"Human"	47	42	0.893617021276596
"HW350053.1_141_1361"	"Human"	"Human"	122	109	0.89344262295082
"FM955841.1_78_1301"	"Human"	"Human"	46	41	0.891304347826087
"GQ845444.1_159_1367"	"Human"	"Human"	46	41	0.891304347826087
"KM085343.1_135_1367"	"Human"	"Human"	18	16	0.888888888888889
"MF588726.1_132_1337"	"Human"	"Human"	18	16	0.888888888888889
"JN231328.1_63_1268"	"Human"	"Human"	105	93	0.885714285714286
"MF588756.1_108_1322"	"Human"	"Human"	26	23	0.884615384615385
"EU410349.1_81_1283"	"Human"	"Human"	50	44	0.88
"X74468.1_81_1289"	"Human"	"Human"	66	58	0.878787878787879
"MH777196.2_129_1337"	"Human"	"Human"	8	7	0.875
"MH777226.2_135_1349"	"Human"	"Human"	8	7	0.875
"MH777288.2_48_1256"	"Human"	"Human"	8	7	0.875
"MH777309.2_66_1289"	"Human"	"Human"	8	7	0.875
"DQ090005.2_303_1508"	"Human"	"Human"	155	135	0.870967741935484
"AB818687.1_156_1334"	"Human"	"Human"	1522	1324	0.869908015768725
"GU117634.1_99_1307"	"Human"	"Human"	23	20	0.869565217391304
"U31782.1_57_1286"	"Human"	"Human"	213	185	0.868544600938967
"MF588677.1_99_1319"	"Human"	"Human"	53	46	0.867924528301887
"U31783.1_129_1304"	"Human"	"Human"	53	46	0.867924528301887
"KJ506870.1_129_1346"	"Human"	"Human"	22	19	0.863636363636364
"MF588728.1_123_1325"	"Human"	"Human"	22	19	0.863636363636364
"PP296663.1_63_1292"	"Human"	"Human"	88	76	0.863636363636364
"KR816182.1_126_1346"	"Human"	"Human"	80	69	0.8625
"GQ845445.1_66_1283"	"Human"	"Human"	28	24	0.857142857142857
"KC470286.1_78_1259"	"Human"	"Human"	28	24	0.857142857142857
"A07020.1_123_1298"	"Human"	"Human"	451	386	0.855875831485588
"U31786.1_60_1268"	"Human"	"Human"	87	74	0.850574712643678
"GQ845441.1_60_1292"	"Human"	"Human"	20	17	0.85
"AF531420.1_90_1301"	"Human"	"Human"	33	28	0.848484848484849
"BK066395.1_93_1295"	"Human"	"Human"	13	11	0.846153846153846
"MH777253.2_171_1379"	"Human"	"Human"	13	11	0.846153846153846
"D90252.1_60_1310"	"Human"	"Human"	145	122	0.841379310344828
"DQ080079.1_78_1259"	"Human"	"Human"	157	132	0.840764331210191
"EU410347.1_129_1331"	"Human"	"Human"	50	42	0.84
"FN677756.1_141_1337"	"Human"	"Human"	37	31	0.837837837837838
"AB819275.1_129_1304"	"Human"	"Human"	348	290	0.833333333333333
"FM955838.1_174_1397"	"Human"	"Human"	6	5	0.833333333333333
"HE963025.1_69_1277"	"Human"	"Human"	12	10	0.833333333333333
"HM999993.1_84_1304"	"Human"	"Human"	6	5	0.833333333333333
"JX413104.1_90_1283"	"Human"	"Human"	6	5	0.833333333333333
"JX413105.1_105_1334"	"Human"	"Human"	12	10	0.833333333333333
"HW350133.1_45_1223"	"Human"	"Human"	153	127	0.830065359477124
"KX781286.1_81_1289"	"Human"	"Human"	34	28	0.823529411764706
"MA632777.1_54_1307"	"Human"	"Human"	44	36	0.818181818181818
"MH777332.2_90_1307"	"Human"	"Human"	38	31	0.815789473684211
"AY044277.1_48_1271"	"Human"	"Human"	43	35	0.813953488372093
"AB211993.1_387_1553"	"Human"	"Human"	137	111	0.81021897810219
"DQ080000.1_102_1262"	"Human"	"Human"	137	111	0.81021897810219
"M74117.1_81_1262"	"Human"	"Human"	52	42	0.807692307692308
"FM955837.2_57_1286"	"Human"	"Human"	93	75	0.806451612903226
"AB361563.1_123_1286"	"Human"	"Human"	55	44	0.8
"GQ244463.1_123_1319"	"Human"	"Human"	5	4	0.8
"GU117631.1_69_1286"	"Human"	"Human"	5	4	0.8
"JX413107.1_90_1298"	"Human"	"Human"	10	8	0.8
"MH777161.1_90_1301"	"Human"	"Human"	5	4	0.8
"MH777170.2_99_1298"	"Human"	"Human"	5	4	0.8
"MH777249.1_201_1400"	"Human"	"Human"	5	4	0.8
"KX781282.1_99_1307"	"Human"	"Human"	34	27	0.794117647058823
"KY242583.1_96_1301"	"Human"	"Human"	34	27	0.794117647058823
"EU410348.1_120_1325"	"Human"	"Human"	58	46	0.793103448275862
"FM955842.1_114_1322"	"Human"	"Human"	29	23	0.793103448275862
"MF588742.1_72_1289"	"Human"	"Human"	29	23	0.793103448275862
"MH777366.1_93_1310"	"Human"	"Human"	28	22	0.785714285714286
"EU077224.1_123_1316"	"Human"	"Human"	377	295	0.782493368700265
"FM955839.1_171_1367"	"Human"	"Human"	50	39	0.78
"MF588767.1_72_1271"	"Human"	"Human"	18	14	0.777777777777778
"MH777211.2_69_1286"	"Human"	"Human"	9	7	0.777777777777778
"AY262282.1_240_1421"	"Human"	"Human"	161	125	0.77639751552795
"GU117629.1_75_1292"	"Human"	"Human"	13	10	0.769230769230769
"KP692114.1_69_1289"	"Human"	"Human"	13	10	0.769230769230769
"MH777292.2_48_1259"	"Human"	"Human"	17	13	0.764705882352941
"MH777359.2_144_1364"	"Human"	"Human"	81	61	0.753086419753086
"KF436826.1_75_1259"	"Human"	"Human"	72	54	0.75
"KT698166.1_72_1280"	"Human"	"Human"	28	21	0.75
"MF588681.1_126_1322"	"Human"	"Human"	4	3	0.75
"MF588711.1_114_1328"	"Human"	"Human"	8	6	0.75
"MF588727.1_135_1346"	"Human"	"Human"	8	6	0.75
"MF588731.1_132_1325"	"Human"	"Human"	12	9	0.75
"MH777162.2_81_1301"	"Human"	"Human"	4	3	0.75
"MH777389.2_90_1301"	"Human"	"Human"	4	3	0.75
"FB570775.1_120_1298"	"Human"	"Human"	231	171	0.74025974025974
"MK080568.2_96_1304"	"Human"	"Human"	22	16	0.727272727272727
"NC_001458.1_66_1259"	"Human"	"Human"	11	8	0.727272727272727
"MF588725.1_93_1307"	"Human"	"Human"	28	20	0.714285714285714
"MH777153.2_48_1259"	"Human"	"Human"	17	12	0.705882352941177
"HF930491.1_84_1289"	"Human"	"Human"	46	32	0.695652173913043
"FN547152.2_129_1307"	"Human"	"Human"	3	2	0.666666666666667
"MF588701.1_135_1349"	"Human"	"Human"	3	2	0.666666666666667
"NC_001576.1_129_1307"	"Human"	"Human"	26	17	0.653846153846154
"MH777327.2_96_1301"	"Human"	"Human"	14	9	0.642857142857143
"MF588710.1_126_1337"	"Human"	"Human"	30	19	0.633333333333333
"MF588707.1_78_1310"	"Human"	"Human"	16	10	0.625
"AB027021.1_147_1328"	"Human"	"Human"	85	52	0.611764705882353
"EF467176.1_135_1337"	"Human"	"Human"	10	6	0.6
"X74471.1_63_1289"	"Human"	"Human"	5	3	0.6
"KF922510.1_48_1256"	"Human"	"Human"	22	13	0.590909090909091
"MH777304.1_120_1328"	"Human"	"Human"	22	13	0.590909090909091
"HM999994.1_90_1301"	"Human"	"Human"	24	14	0.583333333333333
"KR816173.1_135_1352"	"Human"	"Human"	12	7	0.583333333333333
"HM011570.1_69_1274"	"Human"	"Human"	7	4	0.571428571428571
"NC_001596.1_129_1337"	"Human"	"Human"	14	8	0.571428571428571
"KC862318.1_96_1313"	"Human"	"Human"	18	10	0.555555555555556
"HW350050.1_63_1271"	"Human"	"Human"	143	78	0.545454545454545
"HW350057.1_228_1409"	"Human"	"Human"	62	33	0.532258064516129
"AB201226.1_129_1310"	"Human"	"Human"	21	11	0.523809523809524
"GQ246951.1_60_1280"	"Human"	"Human"	6	3	0.5
"MF588736.1_147_1364"	"Human"	"Human"	2	1	0.5
"MH777318.1_48_1256"	"Human"	"Human"	2	1	0.5
"CS077205.1_45_1235"	"Human"	"Human"	67	32	0.477611940298507
"HW350049.1_129_1310"	"Human"	"Human"	64	30	0.46875
"HW350144.1_45_1226"	"Human"	"Human"	9	4	0.444444444444444
"AF349909.1_186_1376"	"Human"	"Human"	6	2	0.333333333333333
