cluster_number	centroid	host_group	status	aln_best_pct_id	blastn_best_pct_id	best_pct_id	best_hit_name	taxonomy_level
22	ERR10857015Score=663.01_Edges=39_37_21_61_63_45_65_55_89_Position=1260_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	96.166	96.166	human papillomavirus 12	known_species
23	SRR13789712Score=660.609_Edges=73549_22015_22019_286457_Position=3227_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.837	99.837	human papillomavirus 20	known_species
24	SRR15442692Score=617.189_Edges=45_15_19_23_27_Position=18_Alignment=40M2I81M1I41M1D95M7I8M2I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.592	99.592	Human papillomavirus	known_species
25	SRR3644053Score=605.173_Edges=11713_55327_55331_4239_27661_39019_22247_22249_34523_2129_56739_42363_26753_26803_33753_33755_18257_18261_34245_11389_30511_30515_10543_Position=334_Alignment=40M1I218M5I8M1I70M4I34M2I25M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.736	99.736	Human papillomavirus	known_species
26	SRR6442921Score=619.558_Edges=10717_Position=3720_Alignment=121M2I41M1D95M8I8M2I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.592	99.592	Human papillomavirus	known_species
27	SRR7687880Score=658.832_Edges=14577_4635_4631_11715_9769_9765_Position=565_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	91.058	91.058	human papillomavirus 24	known_species
28	SRR7688471Score=663.497_Edges=1493_1453_8799_5747_5743_Position=416_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	91.775	91.775	human papillomavirus 12	known_species
29	SRR7688493Score=648.489_Edges=313_97_95_193_Position=1519_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.592	99.592	human papillomavirus 36	known_species
30	SRR7688540Score=605.21_Edges=81_Position=727_Alignment=40M2I81M2I145M5I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.51	99.51	Gammapapillomavirus 22	known_species
31	SRR7688673Score=656.032_Edges=16633_2255_18499_17843_15765_8911_5241_6091_6399_523_519_6869_1179_1175_18293_18295_19511_12323_12327_11735_11737_6129_17607_5839_5835_11821_7211_1439_1441_16739_3457_4511_16771_16767_12653_20529_12431_16765_2691_2687_17801_14859_16397_11619_5825_13263_22731_16251_16249_3849_669_14835_15375_15379_15301_22325_16173_22481_3771_10619_10621_21901_19771_12603_12601_10033_13653_13657_9945_13551_20001_20003_16973_4641_2291_11067_18737_3983_3981_18339_8819_11569_21197_20387_20391_16375_16373_20339_Position=133_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	91.912	91.912	Human papillomavirus	known_species
32	SRR7688916Score=658.878_Edges=1457_17425_46859_5891_5889_1821_57663_16265_26673_26675_34661_34885_58943_58939_6207_6209_3441_52647_54345_54347_10489_40365_34715_14581_14583_21955_39799_58091_14831_14829_58759_16401_45137_35081_35085_40043_14109_14111_34035_34343_34347_14881_11177_39311_25075_35497_35499_12881_37801_53747_53751_24173_19823_40857_40855_41241_839_36931_36933_10433_10429_25109_17489_14381_14385_13869_16949_10257_39717_39715_58843_19063_44135_12639_12641_42063_16677_28949_247_1003_1005_14715_56213_15321_15325_24455_19795_65_67_52643_52641_46209_3127_51071_58607_58603_57761_21015_52583_52581_31913_8827_25177_1061_21937_23149_23145_43705_40219_36267_36263_38087_41985_41987_24789_29709_14445_4451_47569_47573_4657_58249_41681_26365_26361_1395_1399_14889_13997_27839_38331_38329_1649_37991_16105_16101_41335_18877_18875_51107_44787_44791_39345_16439_40429_18487_13151_40065_40063_52491_52495_47823_5827_8243_9321_33223_35281_35277_37657_48237_48233_12955_12957_7319_9879_9883_40815_20363_20359_25153_7475_7477_13591_35091_26089_38503_53775_28303_14441_9555_55873_55871_55211_38829_11357_46921_32533_2829_39647_25523_25525_34117_23867_53619_12673_51375_23047_43135_43137_11579_11583_38623_38625_2389_28339_47847_47843_18853_54283_42715_42719_14195_41113_12351_33559_755_757_16851_45093_39941_49907_49905_42725_42727_40501_37553_37549_41379_41377_21417_20773_53599_22223_21069_31617_29233_6201_6203_43323_6013_20911_20907_56579_943_945_35409_46933_39301_12469_15357_15353_57719_34481_19719_28187_28189_27755_36009_11063_35703_35705_43415_40359_4157_4159_17015_17063_34005_34009_56599_Position=4_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	94.199	94.199	Human papillomavirus	known_species
33	SRR7992320Score=654.458_Edges=9043_4293_4291_10127_95_1567_1563_11113_1959_1957_3819_3821_7355_3943_Position=35_Alignment=40M1I81M1D136M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	89.097	89.097	human papillomavirus 36	new_species
34	ERR12027538Score=658.623_Edges=181_147_Position=0_Alignment=40M1I81M1D40M1D95M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.672	99.672	Human papillomavirus type 8	known_species
35	SRR22231181Score=645.557_Edges=339205_339201_Position=727_Alignment=40M1I81M1D40M1D95M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.836	99.836	Betapapillomavirus 1	known_species
36	SRR3188124Score=649.276_Edges=839289_65189_Position=1347_Alignment=40M1I81M1D40M1D95M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	Human papillomavirus	known_species
37	SRR3643585Score=650.74_Edges=165175_165173_213239_428969_428973_70739_86323_86325_410113_410109_385149_148481_394657_394659_353001_90363_90359_30499_128587_128583_395197_461387_461391_45805_339559_381815_381813_362147_228791_155147_282151_282147_420245_192023_25863_92645_370901_Position=4_Alignment=40M1I218M5I8M1I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.835	99.835	Human papillomavirus	known_species
38	SRR7687902Score=667.427_Edges=98717_98715_85111_85109_102751_241595_196625_299111_299115_297761_307511_307513_195619_84679_84677_314129_314133_80689_98463_75319_312351_200325_304035_69151_46293_208883_208885_121055_121051_72805_163929_1485_6249_6251_121343_110951_317949_246505_249_251_209623_231591_312073_189557_144935_75075_75069_169529_252373_100345_206849_105235_105237_171593_230059_188199_188203_300433_326179_167993_291579_109913_174443_155439_146955_146951_138359_101219_117599_314985_329807_313385_207659_273165_40579_72453_270323_32429_65343_65347_3187_171633_171637_218601_101253_212465_206703_201405_166959_7375_331335_331331_333159_278591_74557_74553_221083_306459_306455_309233_309229_214349_211259_142451_187619_263943_186721_186719_212141_136621_193213_66905_17489_138387_300947_122795_217675_294717_294715_322961_256597_163983_163981_191417_213235_194471_143515_143519_74685_201985_201981_331695_331691_226409_226411_21843_21841_14691_14689_259963_259967_60261_267757_267759_331735_331737_248489_248493_15937_305921_284553_284551_52093_160977_11823_319495_52849_52851_75865_324623_263741_1109_96909_96905_110885_104381_104385_252595_100885_51183_322989_194767_194769_160553_160557_76763_49805_130223_46215_220903_121471_271027_69815_96891_96893_130267_99309_99305_288231_94267_94265_256947_185273_21139_146239_146233_165275_9517_9519_239605_239607_323059_138915_138917_302009_302011_169945_300941_29555_29559_243345_149775_184535_184533_201227_173483_328925_328929_181207_130389_141487_95509_255877_255879_258631_321003_155561_186179_186175_251629_280135_329341_17205_33069_313365_313367_71203_279453_123869_227647_50895_46791_46795_304519_146677_136529_96711_280235_267841_249087_201719_201723_239385_207371_42245_151407_151403_27503_27507_215243_72901_72903_142841_142839_287451_277939_274179_27541_252463_Position=19_Alignment=40M1I81M1D40M1D95M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	86.412	86.412	human papillomavirus 20	new_species
39	SRR7687907Score=662.918_Edges=69973_69977_55601_55599_34465_73825_34143_134891_120721_131657_131655_122549_61621_44923_93523_93525_104313_158827_137449_137451_51599_35127_94753_77159_77161_28533_14153_68935_159_5651_49647_7275_86847_86849_81377_87625_87627_57783_25301_25299_101191_53363_70375_52989_48947_115565_63703_100723_54859_54861_58697_58701_143929_82007_60059_60061_86865_117899_87143_Position=23_Alignment=40M1I82M1I136M10I8M1I70M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	blastn	NA	91.153	91.153	human papillomavirus 21	known_species
40	SRR7688429Score=644.752_Edges=131_135_77_213_215_Position=3052_Alignment=40M1D80M1D136M5I8M4I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	76.834	76.834	Human papillomavirus	new_species
41	SRR7992623Score=611.208_Edges=41575_51905_51903_1955_1953_24629_45845_56889_56891_67473_60459_74183_74187_8257_8253_Position=191_Alignment=40M1D120M2D95M8I78M7I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.918	99.918	Human papillomavirus	known_species
42	ERR1332598Score=651.361_Edges=23051_Position=283_Alignment=40M1I81M1D40M2D94M10I8M1I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Metagenome	ncbi_virus	NA	98.112	98.112	human papillomavirus 47	known_species
43	SRR15442402Score=636.135_Edges=169_105_57_49_3_81_135_123_17_141_Position=87_Alignment=121M1D136M7I8M5I129M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.276	98.276	Human papillomavirus 149	known_species
44	SRR15442811Score=609.173_Edges=192517_192513_Position=2033_Alignment=40M2I82M2I144M3I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	87.049	87.049	Human papillomavirus	new_species
45	SRR22230817Score=646.84_Edges=36845_36847_2523_13441_46613_127859_168309_61907_18519_18517_83519_83515_209607_173167_186357_133131_181717_136483_136485_64471_64473_82817_25215_25213_206959_27489_16055_80479_93027_124609_196561_95365_42493_42489_26759_26755_73627_114261_114263_154159_154161_75009_75007_183001_39633_174247_114047_85259_88233_169949_169951_170029_150263_90897_90895_62405_157045_157043_173831_70133_136527_77601_77605_187349_19785_19783_126421_126419_106617_122191_200377_200381_113917_206225_172915_172919_54811_86345_93423_128301_128303_169955_128363_128365_153981_116457_207339_207337_128859_74583_115179_115183_109939_109937_148517_209823_117229_168955_56681_56677_110155_106475_106473_204367_277_273_21203_73315_57937_57931_159521_199207_199203_9109_53925_120583_120585_100357_202153_176289_176291_54779_35213_35209_199223_199225_121947_121943_143855_206241_158115_12445_65761_121617_55929_55925_383_147201_88313_26299_156555_145713_170961_170965_121905_175775_146101_29867_29863_179663_183483_183479_69099_69103_106151_106153_75097_111731_124867_180789_87711_87713_209733_209731_11191_13101_13103_136709_21207_117853_101969_101973_167483_16735_70621_58839_200339_70837_43657_57569_162393_123319_123321_49343_49345_167705_167709_89013_138493_9819_9821_138469_138467_82059_120301_176819_138389_32257_32255_117915_117913_90189_30297_146291_146289_127627_119753_158737_158733_150269_150267_146205_198861_203847_47223_205267_205265_158067_42515_42513_56277_45197_38639_3125_3129_4455_51453_53291_31995_206991_70271_70273_97715_145731_201451_201447_114589_143189_143191_210057_6825_75487_101993_101995_132945_68201_90817_140683_188683_121427_121429_158961_97935_200125_34943_34945_167347_167349_164895_167781_62119_184371_184369_94139_69849_69853_112109_63395_96025_29533_29537_162201_168483_168487_57003_57005_62969_120433_120431_102329_54829_123701_123703_2177_41187_111179_174531_195017_195019_46235_46231_81419_62841_68203_165063_165061_7837_124581_196761_62613_59139_5537_196637_196635_18263_17945_87183_119309_39487_49541_23615_53515_197077_37487_80065_80063_24205_24203_188265_188269_154351_83457_8431_151005_151009_189877_191637_191641_138231_138233_42907_165999_181749_114521_114523_103347_16967_168493_168489_151101_160151_122073_122075_14259_14255_150301_2629_2847_2849_24287_140657_70759_70757_106335_131379_27005_118083_181957_109311_109307_151057_200443_124493_51943_119771_33053_33057_159107_117147_23943_110843_110845_80121_82389_132757_132759_98313_75837_152433_197697_197699_75021_154831_109181_28109_48183_48187_72225_106623_186351_209347_175177_175179_130373_111123_111125_169983_50881_153481_99081_99077_42173_132889_132891_165163_133355_171149_Position=0_Alignment=40M1I81M1D41M2I95M6I8M2I70M1I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	Papillomavirus homo7570	known_species
46	SRR22234042Score=603.128_Edges=16981_16983_35391_35393_57551_19897_16941_16939_45265_45269_8705_3357_51241_47333_47335_55803_25721_37863_37865_23711_36549_36547_37561_629_631_44089_44093_61807_21821_47131_47133_38419_29295_51057_61965_49547_56523_Position=14_Alignment=40M1I81M1D41M2I95M6I8M2I70M1I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.005	98.005	Human papillomavirus	known_species
47	SRR26848444Score=621.424_Edges=31037_Position=2884_Alignment=40M2I82M2I144M3I70M4I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.425	99.425	Human papillomavirus	known_species
48	SRR6442949Score=649.268_Edges=419_Position=1549_Alignment=258M5I8M1I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.754	99.754	Human papillomavirus	known_species
49	SRR7122315Score=652.43_Edges=2067_3241_7023_7021_3311_3315_3083_4315_4311_4259_4263_7235_7239_4555_5269_1693_9461_5613_5611_627_901_Position=41_Alignment=258M5I8M1I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.918	99.918	Human papillomavirus	known_species
50	SRR7688003Score=640.515_Edges=52419_1423_46953_53715_53713_37579_24077_35829_4661_28335_42361_42365_50735_27111_37201_7047_50061_50059_36113_62833_18341_18339_18633_43267_43263_20733_32359_50487_50483_15199_15201_63099_12589_12593_6293_24987_43737_43739_29325_24903_60993_28527_28523_9635_61539_61533_3271_23535_36349_36353_14559_52985_19215_19213_17353_8653_8657_52697_24101_61319_61315_30093_51823_54133_54129_51313_51315_54873_54869_30685_30681_41621_44101_59565_59561_8581_38459_7039_7043_1317_26387_793_56785_1965_1971_54213_54077_61371_61369_18255_52117_49795_49799_28051_54539_24969_60405_29149_29147_54057_54055_26403_1725_1729_38333_11663_20129_20125_28957_16623_42311_37681_37685_38059_55341_55337_25029_4339_4093_4091_28441_16649_16645_12683_12681_19835_34391_34569_62797_25893_29757_29759_50137_12753_8551_57073_929_687_683_19781_19785_4657_15633_15635_35367_16763_31935_11403_31071_27653_39033_52819_37591_7293_7295_20615_20611_4901_4899_60119_21543_21541_3455_61531_35985_27867_49367_48143_18889_18891_7657_46227_46279_46281_11025_11023_51231_5375_54265_44787_49273_34597_34595_62955_34939_3955_63577_16783_16787_58953_36843_18213_33485_24495_24491_45081_8051_8047_3901_9223_6181_22561_22557_1889_1985_58129_43501_43503_37601_37605_52153_42741_26341_237_60199_60201_11587_19443_19439_44861_13301_47969_47967_Position=3_Alignment=121M1D136M7I8M5I129M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.918	99.918	Gammapapillomavirus 7	known_species
51	SRR7688012Score=654.42_Edges=127105_82893_82891_177581_118015_157831_145779_100329_100331_155565_77565_90293_90295_113471_125977_134059_98909_98911_31293_31299_82095_65963_59475_59471_27853_118753_50781_50783_123631_40571_40569_116211_82839_167961_85661_85659_136659_101985_101989_96365_127561_127565_129951_163983_25613_102535_161739_53981_53983_58261_58263_116495_71109_117411_129517_129515_92809_73239_72123_90225_127539_5823_15305_87663_87667_43957_4543_5913_42101_42105_116043_137473_154815_3971_159945_131379_131381_131429_104833_104835_13931_101363_152701_54315_106175_143677_56051_56049_83593_113201_146637_102703_102699_31205_52499_108171_50259_50263_92593_2439_1119_1121_89375_105709_105711_86345_86349_134707_102401_102405_100849_6495_177717_52855_141255_141251_94609_94613_5193_98505_79097_79093_149581_11785_111865_111861_101339_18149_25331_113665_21713_21711_149075_31427_127485_98677_98679_150595_85245_166395_83941_83937_124235_114515_44587_44589_43629_57103_18269_170977_70903_98167_106813_141863_28467_161959_161961_28433_111755_23005_15995_157139_157243_150509_109271_86151_47701_148811_148807_175517_151553_162053_30119_133397_126661_181105_9175_9179_66397_38505_158829_158835_149877_43989_60909_113197_138367_117801_86085_17649_17645_63927_63931_45787_62813_189_48483_148289_148291_110489_110493_42419_42421_145601_42793_120531_117281_91473_137073_137071_110201_15219_145899_145901_111187_45187_102627_102629_75753_75755_24395_24397_54955_100339_100337_92143_117901_115767_38185_51521_51525_2225_155655_154571_76913_76911_132123_165031_45467_45465_108979_108973_1385_160501_160497_48527_82505_82503_143965_1881_97599_24821_109645_67141_78795_78799_32465_32467_63673_87545_159325_159329_57047_4371_172697_167815_167817_177179_9507_9509_101517_64119_27063_27061_2499_23055_16095_16093_171151_168945_32371_32373_2617_174769_154041_154045_3993_3991_70775_123167_29987_63707_63703_117475_96735_66807_96897_155511_66753_66755_36755_36757_47997_15777_15775_77717_77721_172193_96107_161711_161717_93157_2473_109711_80849_69653_36527_115841_115843_123021_6695_12019_12021_48507_164441_133843_133839_70753_70757_63773_95595_79863_24415_24411_90477_24825_24827_51769_94217_94215_101033_168115_158451_841_16021_107223_107225_57379_69803_146153_163029_10715_21923_102243_109639_119659_119663_88469_63085_48355_48351_87515_87519_161903_135387_148357_148355_31741_11229_146479_146475_11043_37055_37051_104767_1069_1065_72799_60255_176943_176941_20273_152683_32109_32105_2309_133237_133239_174495_168007_168009_35157_8663_8659_175905_151413_64209_118571_118575_27753_105845_105843_91845_125971_58275_58279_12045_152015_129495_179141_171517_169567_107275_107277_132761_136031_134151_134155_7995_178317_167803_170467_137843_94651_34817_173997_173999_75513_65933_36401_123383_123379_77613_77611_112835_55369_72363_174193_168739_168735_41601_41603_8841_123545_94703_109635_169647_163213_673_121011_86327_86329_95669_107415_94405_24165_134853_22047_35901_47387_55455_15823_15819_111611_8977_35615_124127_30271_161641_170469_170471_51863_51859_46647_123345_150377_139641_139643_76687_114353_75325_88279_38319_38321_32069_56235_85779_128943_19673_111965_111963_145329_106043_49999_113891_102129_82459_82455_1761_28207_76069_91019_123201_162045_128939_145617_50483_90183_90185_158297_32885_32887_121031_121027_148725_101571_62649_62645_80001_60587_29537_29539_34325_12733_111919_111915_75453_6477_6479_59285_11745_19171_96535_96537_162831_162829_43281_43285_20875_68853_110587_41027_41023_162935_171455_171459_61245_33943_106551_23709_14101_153839_153841_69459_69463_113317_10063_12561_3325_95831_95833_41621_74899_74903_77255_77257_154837_21723_30017_30019_Position=16_Alignment=40M2I218M5I8M1I70M3I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.671	99.671	Human papillomavirus	known_species
52	SRR7688450Score=654.933_Edges=13345_24207_45819_143383_115471_115467_41153_18247_11139_117615_117617_115755_22399_81809_81807_24479_66589_18079_53419_53421_87541_121075_69487_69491_142683_77923_130507_80883_80887_57899_41621_116045_127923_2159_2157_49943_Position=103_Alignment=258M5I8M1I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.851	98.851	Human papillomavirus	known_species
53	SRR7688670Score=647.153_Edges=32117_28029_14169_14171_14329_13713_45063_10615_5439_48543_4625_16467_4151_17291_35497_35501_39151_39153_42329_42331_31609_3615_Position=114_Alignment=258M5I8M1I70M5I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	Human papillomavirus	known_species
54	SRR13789777Score=628.432_Edges=188935_Position=5751_Alignment=40M2I122M1I96M3I8M2I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.848	98.848	Human papillomavirus	known_species
