V1	X	node	branch.length	isTip	x	y	branch	angle	x10	status	generalization	broader_gen	specific_species	X.1	lib	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47
HW350133.1_45_1223_1	1159	22	0.083239624	TRUE	6.195144124	580	6.153524312	188.1081081	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	HW350133.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AX033802.1_42_1217_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EF177182.1_198_1370_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HE963117.1_42_1214_1	1223	93	0.181524604	TRUE	5.807567465	502	5.716805163	162.8108108	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	HE963117.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
DQ080079.1_78_1259_1	1160	20	0.124040359	TRUE	6.282575261	581	6.220555081	188.4324324	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	DQ080079.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
D21208.1_183_1361_1	1194	61	0.186147376	TRUE	5.940733142	529	5.847659453	171.5675676	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	D21208.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AF436129.1_231_1394_1	1185	55	0.154054588	TRUE	5.626789667	503	5.549762373	163.1351351	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AF436129.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
KF436826.1_75_1259_1	1217	85	0.085857977	TRUE	5.895542177	511	5.852613189	165.7297297	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	KF436826.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AB027021.1_147_1328_1	1170	35	0.061272145	TRUE	6.110340974	577	6.079704901	187.1351351	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AB027021.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
HE793047.1_42_1220_1	1201	67	0.03937142	TRUE	6.129457227	537	6.109771517	174.1621622	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	HE793047.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
HW350057.1_228_1409_1	1217	84	0.122859727	TRUE	5.932543927	510	5.871114063	165.4054054	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	HW350057.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AB542808.1_90_1274_1	1137	4	0.191447813	TRUE	5.801427738	541	5.705703831	175.4594595	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AB542808.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
HW350056.1_84_1259_1	1183	51	0.16228735	TRUE	6.046684049	565	5.965540375	183.2432432	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	HW350056.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AJ620209.1_165_1346_1	1142	9	0.140298461	TRUE	6.065409248	554	5.995260018	179.6756757	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AJ620209.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AJ620205.1_201_1379_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC470286.1_78_1259_1	1158	23	0.198121933	TRUE	6.291515454	579	6.192454488	187.7837838	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	KC470286.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
HW350065.1_216_1397_1	1143	6	0.097490292	TRUE	6.100628669	555	6.051883524	180	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	HW350065.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
FN598907.1_90_1283_1	1691	555	0.013436404	TRUE	5.910423758	738	5.903705556	239.3513514	Betapapillomavirus	ncbi	Human	Human	Betapapillomavirus	Human_associated	FN598907.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
EF680235.1_90_1271_1	2080	962	0.150284812	TRUE	5.55936679	147	5.484224384	47.67567568	Deltapapillomavirus	ncbi	Cervine	Cervine	Capreolus_capreolus	Capreolus_capreolus_associated	EF680235.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
D26115.1_84_1274_1	1799	682	0.268801159	TRUE	5.647156082	255	5.512755503	82.7027027	Lambdapapillomavirus	ncbi	Canine	Canine	Canis_familiaris	Canis_familiaris_associated	D26115.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
EU503122.1_117_1301_1	2112	996	0.418229858	TRUE	5.06792893	118	4.858814001	38.27027027	Dyoiotapapillomavirus	ncbi	Equine	Equine	Equus_caballus	Equus_caballus_associated	EU503122.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AY395706.1_120_1298_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF436859.1_87_1274_1	1171	36	0.079359913	TRUE	5.814268174	573	5.774588217	185.8378378	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	KF436859.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
LR861871.1_120_1301_1	1223	92	0.069240197	TRUE	5.695283058	501	5.66066296	162.4864865	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	LR861871.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AJ400628.2_249_1436_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ947080.1_93_1310_1	1703	575	0.063283183	TRUE	5.436226947	705	5.404585356	228.6486486	Betapapillomavirus	ncbi	Human	Human	Betapapillomavirus	Human_associated	FJ947080.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AY330620.1_102_1286_1	1138	3	2.18e-06	TRUE	5.774958198	543	5.774957109	176.1081081	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AY330620.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AF293960.1_276_1460_1	1149	13	0.076152619	TRUE	6.311735196	551	6.273658886	178.7027027	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AF293960.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
DQ080000.1_102_1262_1	1151	18	0.013892152	TRUE	5.9165632	546	5.909617125	177.0810811	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	DQ080000.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AF436128.1_102_1283_1	1146	16	0.1037072	TRUE	5.996116373	547	5.944262773	177.4054054	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AF436128.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AF070938.1_48_1226_1	1202	65	0.088290376	TRUE	6.480035134	538	6.435889946	174.4864865	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	AF070938.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
MK620304.1_72_1256_1	2134	1016	0.21641637	TRUE	5.162606885	91	5.0543987	29.51351351	Larus_smithsonianus_associated	ncbi	Avian	Avian	Larus_smithsonianus_associated	Larus_smithsonianus_associated	MK620304.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
D90252.1_60_1310_1	1643	510	0.044814799	TRUE	5.520837071	678	5.498429672	219.8918919	Betapapillomavirus	ncbi	Human	Human	Betapapillomavirus	Human_associated	D90252.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
JQ798171.1_54_1229_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FM212639.1_84_1292_1	1579	446	0.236157061	TRUE	6.000664146	820	5.882585616	265.9459459	Gammapapillomavirus	ncbi	Human	Human	Gammapapillomavirus	Human_associated	FM212639.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
GQ845443.1_84_1295_1	1564	433	0.152976392	TRUE	5.808397829	854	5.731909633	276.972973	Gammapapillomavirus	ncbi	Human	Human	Gammapapillomavirus	Human_associated	GQ845443.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
KC113191.1_162_1373_1	1495	355	0.096551278	TRUE	6.596317462	992	6.548041823	321.7297297	Gammapapillomavirus	ncbi	Human	Human	Gammapapillomavirus	Human_associated	KC113191.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AY609301.1_81_1277_1	2023	902	0.439048381	TRUE	5.441727343	187	5.222203153	60.64864865	Rhopapillomavirus	ncbi	Manatee	Other	Trichechus_manatus	Trichechus_manatus_associated	AY609301.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
MK620303.1_66_1256_1	2148	1034	0.20216076	TRUE	4.427291815	79	4.326211435	25.62162162	Anas_platyrhynchos_associated	ncbi	Avian	Avian	Anas_platyrhynchos_associated	Anas_platyrhynchos_associated	MK620303.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
HW350144.1_45_1226_1	1171	37	0.083878198	TRUE	5.818786459	574	5.77684736	186.1621622	Alphapapillomavirus	ncbi	Human	Human	Alphapapillomavirus	Human_associated	HW350144.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
HQ625441.1_141_1316_1	2006	881	0.015120539	TRUE	5.299693099	236	5.29213283	76.54054054	Iotapapillomavirus	ncbi	Rodent	Rodent	Rattus_norvegicus	Rattus_norvegicus_associated	HQ625441.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
AB331651.1_309_1508_1	1737	628	0.3328231	TRUE	5.730472256	642	5.564060706	208.2162162	Xipapillomavirus	ncbi	Cattle	Bovine	Bos_taurus	Bos_taurus_associated	AB331651.1	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
MQ011419.1_45_1217_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
