parent	node	branch.length	label	isTip	x	y	branch	angle	status	generalization	broader_gen	specific_species	specific_association
2178	781	0.098671497	SRR13789172Score_645_947__	TRUE	6.10556601	661	6.056230261	172.6850508	novel	Human	Human	Skin metagenome	
2122	745	0.052684917	SRR13789499Score_657_447__	TRUE	5.849679448	706	5.82333699	184.4412192	novel	Human	Human	Skin metagenome	
2094	689	0.086469741	SRR13789712Score_660_249__	TRUE	6.224787784	757	6.181552913	197.7648766	novel	Human	Human	Skin metagenome	
2117	721	0.029001442	SRR13789891Score_648_844__	TRUE	5.778264678	729	5.763763957	190.4499274	novel	Human	Human	Skin metagenome	
2105	714	0.038906763	SRR13789891Score_652_069__	TRUE	6.044615503	737	6.025162122	192.5399129	novel	Human	Human	Skin metagenome	
2083	720	0.010439623	SRR13789891Score_658_143__	TRUE	5.785766423	731	5.780546611	190.9724238	novel	Human	Human	Skin metagenome	
2115	716	0.04434605	SRR13789903Score_656_822__	TRUE	6.055631304	736	6.033458279	192.2786647	novel	Human	Human	Skin metagenome	
2117	722	0.064303476	SRR13790026Score_656_256__	TRUE	5.813566712	730	5.781414974	190.7111756	novel	Human	Human	Skin metagenome	
2558	1163	0.113000587	SRR13790114_165814_	TRUE	6.478362896	371	6.421862603	96.92307692	novel	Human	Human	Skin metagenome	
1427	41	1.167272291	SRR14731653Score_259_03__	TRUE	6.916025937	57	6.332389791	14.89114659	novel	Amphibian	Amphibian	Ptychadena nilotica	
1669	266	0.149555733	SRR14739427_12287_	TRUE	6.397039165	1200	6.322261298	313.4978229	novel	Mephitidae	Other	Spilogale pygmaea	
2116	717	0.06771103	SRR14825055Score_662_182__	TRUE	6.029756667	733	5.995901152	191.4949202	novel	Human	Human	Skin metagenome	
2166	774	0.052249448	SRR14825287Score_647_913__	TRUE	6.055234566	680	6.029109842	177.6487663	novel	Human	Human	Skin metagenome	
1672	272	0.524747116	SRR14860617_1712913_	TRUE	6.556435092	1192	6.294061534	311.4078374	novel	Bat	Bat	Desmodus rotundus	
1454	69	0.041178686	SRR14864804Score_434_172__	TRUE	5.926111735	107	5.905522392	27.95355588	novel	Reptile	Reptile	Phrynocephalus versicolor	
2626	1239	0.033181661	SRR15442217Score_618_718__	TRUE	6.302860266	318	6.286269435	83.07692308	novel	Human	Human	Skin metagenome	
2130	727	0.027248679	SRR15442458Score_650_744__	TRUE	6.231702989	715	6.218078649	186.7924528	novel	Human	Human	Skin metagenome	
2477	1076	0.07791609	SRR15442811Score_609_173__	TRUE	6.630487539	561	6.591529494	146.5602322	novel	Human	Human	Skin metagenome	
2474	1071	0.122069985	SRR15442811Score_613_127__	TRUE	6.741586875	569	6.680551882	148.6502177	novel	Human	Human	Skin metagenome	
1904	506	0.017276659	SRR15719352Score_644_901__	TRUE	6.346164734	1028	6.337526405	268.563135	novel	Metagenome	Other	Cold seep metagenome	
1908	507	1.33E-06	SRR16368196Score_583_443__	TRUE	6.3208299	1032	6.320829238	269.6081277	novel	Human	Human	Human	
2072	679	0.129703639	SRR17035102_50223_	TRUE	6.054802794	791	5.989950975	206.6473149	novel	Cervine	Cervine	Cervus nippon	
2073	682	0.029790382	SRR17035102_79120_	TRUE	5.957852234	783	5.942957042	204.5573295	novel	Cervine	Cervine	Cervus nippon	
2689	1301	0.449415646	SRR17072379_538095_	TRUE	6.016446904	147	5.791739081	38.40348331	novel	Pinnipeds	Other	Arctocephalus gazella	
2242	851	0.176781629	SRR18492935_16283_	TRUE	6.214891242	618	6.126500427	161.4513788	novel	Canine	Canine	Canis familiaris	
2217	830	0.511660871	SRR19174522_234245_	TRUE	5.888114903	576	5.632284468	150.478955	novel	Porcine	Other	Phacochoerus africanus	
2015	622	0.26116638	SRR19174525_18408_	TRUE	6.217955707	771	6.087372517	201.4223512	novel	Porcine	Other	Phacochoerus africanus	
2216	831	0.496967431	SRR19174533_28675_	TRUE	5.767730728	574	5.519247013	149.9564586	novel	Porcine	Other	Phacochoerus africanus	
2071	680	0.291826844	SRR19545153_36443_	TRUE	6.168054468	789	6.022141046	206.1248186	novel	Cervine	Cervine	Rangifer tarandus caribou	
1908	508	1.33E-06	SRR20726282Score_645_152__	TRUE	6.3208299	1033	6.320829238	269.8693759	novel	Avian	Avian	Gallus	
1914	517	0.085373012	SRR21604199Score_639_301__	TRUE	6.544532855	1002	6.501846349	261.7706821	novel	Human	Human	Vaginal metagenome	
2709	1322	0.022619075	SRR22071710_95166_	TRUE	5.578022267	128	5.56671273	33.43976778	novel	Rodent	Rodent	Rattus tanezumi	
1765	364	0.620561026	SRR22103697_35462_	TRUE	7.244138577	1089	6.933858064	284.4992743	novel	Bovine	Bovine	Milk metagenome	
2080	724	0.026382212	SRR22230815Score_657_41__	TRUE	5.637738073	727	5.624546967	189.9274311	novel	Human	Human	Skin metagenome	
2120	747	0.167352062	SRR22230817Score_647_428__	TRUE	5.929565266	704	5.845889235	183.9187228	novel	Human	Human	Skin metagenome	
2096	692	0.015365637	SRR22230827Score_658_046__	TRUE	6.18241108	760	6.174728261	198.5486212	novel	Human	Human	Skin metagenome	
2115	715	0.00309245	SRR22230827Score_659_072__	TRUE	6.014377704	735	6.012831479	192.0174165	novel	Human	Human	Skin metagenome	
2389	990	0.349450226	SRR22231266Score_625_959__	TRUE	6.758438639	482	6.583713526	125.9216255	novel	Human	Human	Skin metagenome	
2323	931	0.02725619	SRR22234136Score_658_452__	TRUE	5.861219883	215	5.847591788	56.16835994	novel	Human	Human	Skin metagenome	
2103	703	0.084490465	SRR22765714Score_651_086__	TRUE	6.127142631	751	6.084897399	196.1973875	novel	Human	Human	Skin metagenome	
1433	49	0.066911591	SRR24184635SRR24184635Score_265_377__	TRUE	6.472433692	56	6.438977896	14.6298984	novel	Amphibian	Amphibian	Zhangixalus dugritei	
1844	447	0.278649761	SRR25256528_292062_	TRUE	6.322450399	880	6.183125518	229.8984035	novel	Pangolin	Pangolin	Pholidota	
1695	294	0.105717894	SRR25256529_228985_	TRUE	6.463419865	1188	6.410560918	310.3628447	novel	Pangolin	Pangolin	Pholidota	
1694	291	0.088175306	SRR25256535_79630_	TRUE	6.388548526	1190	6.344460873	310.8853411	novel	Pangolin	Pangolin	Pholidota	
1846	448	0.044586593	SRR25256549_69938_	TRUE	6.23651838	881	6.214225083	230.1596517	novel	Pangolin	Pangolin	Pholidota	
1627	232	0.204533258	SRR25288535_46_	TRUE	6.594295743	1311	6.492029114	342.4963716	novel	Bat	Bat	Myotis altarium	
1686	281	0.077679618	SRR25288745Score_628_557__	TRUE	6.551230242	1178	6.512390433	307.7503628	novel	Bat	Bat	Rhinolophus sinicus	
1520	114	0.356472778	SRR25288757_173498_	TRUE	6.89437851	1282	6.716142121	334.9201742	novel	Bat	Bat	Pipistrellus	
1493	93	0.34013388	SRR25288757Score_618_372__	TRUE	6.540349728	1249	6.370282788	326.298984	novel	Bat	Bat	Pipistrellus	
1619	214	0.052763882	SRR25288757Score_624_394__	TRUE	6.626502787	1323	6.600120846	345.6313498	novel	Bat	Bat	Pipistrellus	
1837	439	0.216028984	SRR25288764_13700_	TRUE	6.211250901	888	6.103236409	231.988389	novel	Bat	Bat	Mops plicatus	
1838	440	0.149459355	SRR25288764_68983_	TRUE	6.246630552	889	6.171900875	232.2496372	novel	Bat	Bat	Mops plicatus	
2637	1248	0.073960849	SRR25936516_7739_	TRUE	6.101835202	304	6.064854777	79.41944848	novel	Human	Human	Skin metagenome	
2013	620	0.196073221	SRR26395417_738037_	TRUE	5.968633123	768	5.870596513	200.6386067	novel	Porcine	Other	Potamochoerus larvatus	
2714	1329	0.526862792	SRR26395441_306738_	TRUE	5.76311969	120	5.499688294	31.34978229	novel	Porcine	Other	Potamochoerus larvatus	
2116	718	0.053907495	SRR26848399Score_657_048__	TRUE	6.015953132	734	5.988999385	191.7561684	novel	Human	Human	Skin metagenome	
2292	901	0.038713105	SRR26848456Score_646_634__	TRUE	5.739816413	175	5.72045986	45.71843251	novel	Human	Human	Skin metagenome	
2347	946	0.057157685	SRR26848472Score_648_183__	TRUE	6.370763327	260	6.342184484	67.9245283	novel	Human	Human	Skin metagenome	
2282	886	0.055270776	SRR26848472Score_648_956__	TRUE	5.828480209	186	5.800844821	48.59216255	novel	Human	Human	Skin metagenome	
2179	780	0.127051376	SRR27078515Score_646_195__	TRUE	6.192809814	663	6.129284126	173.2075472	novel	Human	Human	Skin metagenome	
2627	1238	1.33E-06	SRR27078656Score_607_919__	TRUE	6.352203581	319	6.352202918	83.33817126	novel	Human	Human	Skin metagenome	
2141	742	0.082685035	SRR3184246Score_654_122__	TRUE	6.027964314	708	5.986621797	184.9637155	novel	Human	Human	Skin metagenome	
1883	483	0.093681428	SRR4003710Score_628_011__	TRUE	6.44119207	988	6.394351356	258.1132075	novel	Human	Human	Human	
1479	78	0.094547279	SRR4201718Score_598_373__	TRUE	6.632854767	1159	6.585581127	302.7866473	novel	Bat	Bat	Molossus molossus	
1428	42	0.238311667	SRR4332828Score_261_287__	TRUE	6.632122202	58	6.512966369	15.15239478	novel	Amphibian	Amphibian	Rana jiemuxiensis	
2108	704	0.002957457	SRR5967360Score_637_877__	TRUE	6.223402504	739	6.221923776	193.0624093	novel	Metagenome	Other	Wastewater metagenome	
1961	558	1.33E-06	SRR6442885Score_546_563__	TRUE	6.548874085	935	6.548873422	244.2670537	novel	Human	Human	Skin metagenome	
2511	1121	0.135415756	SRR6442906Score_651_695__	TRUE	6.111117134	492	6.043409256	128.5341074	novel	Human	Human	Skin metagenome	
1965	567	0.046120592	SRR6442928Score_626_517__	TRUE	6.463754792	924	6.440694496	241.3933237	novel	Human	Human	Skin metagenome	
2154	765	0.010194777	SRR6442949Score_638_911__	TRUE	6.072935729	689	6.06783834	180	novel	Human	Human	Skin metagenome	
2102	700	1.33E-06	SRR6442953Score_612_372__	TRUE	6.002476679	748	6.002476016	195.413643	novel	Human	Human	Skin metagenome	
2081	723	0.068694135	SRR6442956Score_660_793__	TRUE	5.701880058	728	5.667532991	190.1886792	novel	Human	Human	Skin metagenome	
2139	737	0.036809024	SRR6442963Score_662_329__	TRUE	6.133727565	718	6.115323053	187.5761974	novel	Human	Human	Skin metagenome	
2147	803	0.041480013	SRR6442991Score_657_274__	TRUE	5.723709924	651	5.702969918	170.0725689	novel	Human	Human	Skin metagenome	
2319	924	1.33E-06	SRR6976994Score_410_373__	TRUE	5.798887192	224	5.798886529	58.51959361	novel	Plant	Other	Zea mays	
2319	925	1.33E-06	SRR6976994Score_535_33__	TRUE	5.798887192	225	5.798886529	58.7808418	novel	Plant	Other	Zea mays	
2318	923	1.33E-06	SRR6976994Score_582_854__	TRUE	5.798885866	223	5.798885203	58.25834543	novel	Plant	Other	Zea mays	
2103	702	0.109897418	SRR7687746Score_662_419__	TRUE	6.152549584	750	6.097600875	195.9361393	novel	Human	Human	Skin metagenome	
2131	725	0.018833723	SRR7687884Score_646_061__	TRUE	6.339357357	716	6.329940495	187.053701	novel	Human	Human	Skin metagenome	
2135	736	0.022103894	SRR7687902Score_667_427__	TRUE	6.061374271	722	6.050322324	188.6211901	novel	Human	Human	Skin metagenome	
2094	690	0.00840508	SRR7687906Score_664_528__	TRUE	6.146723123	758	6.142520583	198.0261248	novel	Human	Human	Skin metagenome	
2084	719	0.064404717	SRR7687982Score_663_518__	TRUE	5.862291505	732	5.830089147	191.233672	novel	Human	Human	Skin metagenome	
2138	734	0.050542072	SRR7687987Score_657_25__	TRUE	6.187090685	725	6.161819649	189.4049347	novel	Human	Human	Skin metagenome	
2350	953	0.022701753	SRR7688381Score_654_09__	TRUE	6.117395427	251	6.106044551	65.57329463	novel	Human	Human	Skin metagenome	
2134	731	0.005225177	SRR7688385Score_668_711__	TRUE	6.072490334	721	6.069877746	188.3599419	novel	Human	Human	Skin metagenome	
2667	1273	0.172717278	SRR7688386Score_652_92__	TRUE	6.300599412	276	6.214240773	72.10449927	novel	Human	Human	Skin metagenome	
2111	706	0.169501732	SRR7688400Score_649_582__	TRUE	6.398744834	744	6.313993969	194.3686502	novel	Human	Human	Skin metagenome	
2348	949	0.262642661	SRR7688412Score_657_777__	TRUE	6.554602971	256	6.423281641	66.87953556	novel	Human	Human	Skin metagenome	
2364	974	0.097966472	SRR7688429Score_644_752__	TRUE	6.003629225	231	5.954645989	60.34833091	novel	Human	Human	Skin metagenome	
2192	795	0.144538479	SRR7688471Score_650_562__	TRUE	6.166011004	656	6.093741765	171.3788099	novel	Human	Human	Skin metagenome	
2198	816	0.142026326	SRR7688474Score_663_432__	TRUE	5.690204522	635	5.619191359	165.892598	novel	Human	Human	Skin metagenome	
2450	1055	0.071107099	SRR7688514Score_616_964__	TRUE	6.688877648	523	6.653324099	136.6328012	novel	Human	Human	Skin metagenome	
2458	1056	0.134557758	SRR7688519Score_626_948__	TRUE	6.740608168	520	6.673329289	135.8490566	novel	Human	Human	Skin metagenome	
2412	1017	0.236524105	SRR7688641Score_640_933__	TRUE	6.37450833	467	6.256246277	122.0029028	novel	Human	Human	Skin metagenome	
2134	730	0.091555193	SRR7688748Score_666_857__	TRUE	6.158820351	720	6.113042754	188.0986938	novel	Human	Human	Skin metagenome	
2364	975	2.17E-06	SRR7688798Score_658_952__	TRUE	5.905664926	232	5.905663839	60.6095791	novel	Human	Human	Skin metagenome	
2118	750	0.11662863	SRR7688803Score_653_516__	TRUE	5.701405419	701	5.643091104	183.1349782	novel	Human	Human	Skin metagenome	
2654	1256	0.29049714	SRR7802420Score_649_451__	TRUE	6.582980208	296	6.437731638	77.32946299	novel	Human	Human	Skin metagenome	
2160	755	0.225691565	SRR7802421Score_639_468__	TRUE	6.621615797	699	6.508770014	182.6124819	novel	Human	Human	Skin metagenome	
2096	691	0.196652854	SRR7802421Score_642_46__	TRUE	6.363698296	759	6.26537187	198.287373	novel	Human	Human	Skin metagenome	
2741	1355	0.078347267	SRR7875388Score_564_13__	TRUE	5.316513375	86	5.277339742	22.46734398	novel	Bovine	Bovine	Bos grunniens	
2138	735	0.039175464	SRR7992320Score_654_458__	TRUE	6.175724077	726	6.156136345	189.6661829	novel	Human	Human	Skin metagenome	
2167	767	0.090240938	SRR7993544Score_630_562__	TRUE	6.119516978	681	6.074396509	177.9100145	novel	Human	Human	Skin metagenome	
2485	1086	0.002895879	SRR7993553Score_590_265__	TRUE	6.583953257	553	6.582505317	144.4702467	novel	Human	Human	Skin metagenome	
1438	57	0.297058937	SRR8379619Score_261_058__	TRUE	5.710082449	39	5.561552981	10.18867925	novel	Amphibian	Amphibian	Triturus ivanbureschi	
2621	1226	0.033435504	SRR8567689Score_605_318__	TRUE	6.336514458	310	6.319796706	80.98693759	novel	Human	Human	Skin metagenome	
1717	321	0.307575418	SRR8631965_1105606_	TRUE	6.191581393	1119	6.037793684	292.3367199	novel	Porcine	Other	Sus scrofa	
