V1_2	x10	n	curated
FM955841.1_78_1301_1	Betapapillomavirus	8	y
FM955842.1_114_1322_1	Betapapillomavirus	8	y
FN598907.1_90_1283_1	Betapapillomavirus	9	y
FN677756.1_141_1337_1	Betapapillomavirus	8	y
GQ180114.1_78_1268_1	non-primatemammalpapillomaviruses	6	y
GQ244463.1_123_1319_1	Alphapapillomavirus	9	y
GQ246950.1_129_1313_1	Alphapapillomavirus	9	y
GQ246951.1_60_1280_1	Betapapillomavirus	8	y
GQ471901.1_138_1322_1	Xipapillomavirus	8	y
GQ845441.1_60_1292_1	Gammapapillomavirus	5	y
GQ845443.1_84_1295_1	Gammapapillomavirus	8	y
GQ845445.1_66_1283_1	Gammapapillomavirus	5	y
GQ845446.1_96_1316_1	Betapapillomavirus	8	y
GQ916646.1_81_1289_1	Betapapillomavirus 	5	y
GU014531.1_96_1301_1	Betapapillomavirus	9	y
GU014532.1_402_1586_1	Alphapapillomavirus	9	y
GU014533.1_63_1292_1	Betapapillomavirus	9	y
GU117620.1_84_1298_1	Upsilonpapillomavirus	6	y
GU117621.1_141_1358_1	Omikronpapillomavirus	5	y
GU117622.1_114_1313_1	Upsilonpapillomavirus	6	y
GU117623.1_72_1256_1	Dyodeltapapillomavirus	5	y
GU117629.1_75_1292_1	Gammapapillomavirus	5	y
GU117630.1_90_1307_1	Gammapapillomavirus	6	y
GU117631.1_69_1286_1	Gammapapillomavirus	7	y
GU117632.1_72_1271_1	Gammapapillomavirus	5	y
GU117633.1_117_1328_1	Gammapapillomavirus	7	y
GU117634.1_99_1307_1	Gammapapillomavirus	6	y
GU129016.1_72_1286_1	Gammapapillomavirus	6	y
GU220391.1_69_1253_1	Dyolambdapapillomavirus 	4	y
GU225708.1_129_1319_1	Gammapapillomavirus	6	y
GU233853.1_105_1319_1	Gammapapillomavirus	7	y
GU384895.1_120_1286_1	Alphapapillomavirus	6	y
HE793047.1_42_1220_1	Alphapapillomavirus	8	y
HE962401.1_42_1220_1	Alphapapillomavirus	10	y
HE963025.1_69_1277_1	Betapapillomavirus	6	y
HE963117.1_42_1214_1	Alphapapillomavirus	10	y
HF930491.1_84_1289_1	Betapapillomavirus	9	y
HG421739.1_126_1331_1	Gammapapillomavirus	5	y
HG530535.1_69_1277_1	Gammapapillomavirus	7	y
HG939559.1_63_1247_1	Pipapillomavirus	7	y
HM011570.1_69_1274_1	Gammapapillomavirus	5	y
HM639492.1_123_1298_1	Alphapapillomavirus	10	y
HM999987.1_153_1358_1	Gammapapillomavirus	5	y
HM999988.1_105_1325_1	Gammapapillomavirus	6	y
HM999989.1_123_1322_1	Gammapapillomavirus	7	y
HM999990.1_138_1343_1	Gammapapillomavirus	7	y
HM999991.1_69_1277_1	Gammapapillomavirus	6	y
HM999992.1_102_1334_1	Gammapapillomavirus	5	y
HM999993.1_84_1304_1	Gammapapillomavirus	6	y
HM999994.1_90_1301_1	Gammapapillomavirus	7	y
HM999996.1_87_1313_1	Gammapapillomavirus	6	y
HM999998.1_135_1343_1	Gammapapillomavirus	6	y
HM999999.1_168_1394_1	Gammapapillomavirus	6	y
HQ262535.1_138_1322_1	Dyomupapillomavirus 	4	y
HQ262536.1_114_1286_1	Chipapillomavirus	9	y
HQ293213.1_45_1235_1	Dyonupapillomavirus	4	y
HQ585856.1_120_1316_1	Lambdapapillomavirus	8	y
HQ625440.1_174_1364_1	Pipapillomavirus	5	y
HQ625441.1_141_1316_1	Iotapapillomavirus	6	y
HQ912790.1_69_1247_1	Deltapapillomavirus	10	y
HQ912791.1_90_1262_1	Deltapapillomavirus	10	y
HW350049.1_129_1310_1	Alphapapillomavirus	10	y
HW350050.1_63_1271_1	Gammapapillomavirus	7	y
HW350053.1_141_1361_1	Betapapillomavirus	9	y
HW350056.1_84_1259_1	Alphapapillomavirus	9	y
HW350057.1_228_1409_1	Alphapapillomavirus	10	y
HW350065.1_216_1397_1	Alphapapillomavirus	10	y
HW350071.1_234_1418_1	Alphapapillomavirus	10	y
HW350133.1_45_1223_1	Alphapapillomavirus	9	y
HW350144.1_45_1226_1	Alphapapillomavirus	8	y
JF304764.1_126_1292_1	Alphapapillomavirus	10	y
JF304765.1_117_1295_1	Dyoomikronpapillomavirus	5	y
JF304766.1_138_1316_1	Dyoomikronpapillomavirus	5	y
JF304767.1_189_1367_1	Dyoomikronpapillomavirus	5	y
JF755418.1_96_1271_1	Iotapapillomavirus	6	y
JF800656.1_282_1466_1	Chipapillomavirus	10	y
JF800657.1_144_1325_1	Chipapillomavirus	9	y
JF800658.1_1602_2786_1	Chipapillomavirus	10	y
JF834523.1_75_1262_1	Xipapillomavirus	6	y
JF906559.1_141_1349_1	Gammapapillomavirus	6	y
JF939718.1_45_1217_1	Dyoiotapapillomavirus	7	y
JF966371.1_141_1358_1	Human_associated	8	y
JF966372.1_75_1280_1	Human_associated	5	y
JF966373.1_72_1274_1	Human_associated	6	y
JF966374.1_105_1328_1	Human_associated	6	y
JF966376.1_78_1292_1	Human_associated	7	y
JF966378.1_81_1289_1	Human_associated	7	y
JF966379.1_72_1274_1	Human_associated	7	y
JN171845.1_81_1295_1	Gammapapillomavirus	7	y
JN211193.1_105_1328_1	Gammapapillomavirus	6	y
JN211195.1_96_1304_1	Betapapillomavirus	6	y
JN231328.1_63_1268_1	Betapapillomavirus	9	y
JN709469.1_87_1295_1	Upsilonpapillomavirus	6	y
JN709470.1_93_1301_1	Omikronpapillomavirus	5	y
JN709471.1_72_1280_1	Omikronpapillomavirus	5	y
JN709472.1_87_1292_1	Upsilonpapillomavirus	6	y
JN709473.1_135_1319_1	Rhopapillomavirus	4	y
JQ031033.1_126_1289_1	Dyoiotapapillomavirus	7	y
JQ692938.1_123_1295_1	Dyotaupapillomavirus	8	y
JQ701802.1_84_1259_1	Chipapillomavirus	7	y
JQ814847.1_57_1235_1	Treisiotapapillomavirus 	6	y
JQ814848.1_252_1436_1	Dyotaupapillomavirus 	8	y
JQ965698.1_99_1274_1	Dyorhopapillomavirus	6	y
JX035935.1_99_1274_1	Dyorhopapillomavirus	4	y
JX123128.1_252_1448_1	Dyoupsilonpapillomavirus 	6	y
JX141478.1_123_1301_1	Taupapillomavirus 	6	y
JX413104.1_90_1283_1	Gammapapillomavirus	6	y
JX413105.1_105_1334_1	Gammapapillomavirus	7	y
JX413106.1_132_1361_1	Gammapapillomavirus	5	y
JX413107.1_90_1298_1	Gammapapillomavirus	8	y
JX413109.1_90_1286_1	Gammapapillomavirus	6	y
JX429973.1_90_1295_1	Gammapapillomavirus	6	y
JX444073.1_72_1268_1	Gammapapillomavirus	7	y
JX885598.1_0_1139_1	Eidolon_helvum_associated	5	y
JX885601.1_78_1280_1	Eidolon_helvum_associated	7	y
JX899359.1_123_1304_1	Chipapillomavirus	7	y
JX972168.1_72_1247_1	Taupapillomavirus	5	y
KC020689.2_105_1307_1	Dyosigmapapillomavirus 	4	y
KC113191.1_162_1373_1	Gammapapillomavirus	5	y
KC311731.2_87_1301_1	Human_associated	8	y
KC460986.1_72_1250_1	Dyophipapillomavirus	5	y
KC470286.1_78_1259_1	Alphapapillomavirus	9	y
KC810012.1_57_1256_1	Xipapillomavirus	8	y
KC858263.1_51_1223_1	Dyopsipapillomavirus	7	y
KC858264.1_57_1247_1	Dyoomegapapillomavirus 	9	y
KC858265.1_51_1223_1	Dyopsipapillomavirus 	7	y
KC858266.1_105_1292_1	Treisdeltapapillomavirus 	9	y
KC862317.1_87_1319_1	Gammapapillomavirus	5	y
KC862318.1_96_1313_1	Gammapapillomavirus	4	y
KC876045.1_81_1256_1	Dyokappapapillomavirus	4	y
KF006399.1_87_1295_1	Gammapapillomavirus	7	y
KF006400.1_93_1304_1	Gammapapillomavirus	8	y
KF006988.1_66_1253_1	"Taupapillomavirus	"	5	y
KF436826.1_75_1259_1	Alphapapillomavirus	9	y
KF436859.1_87_1274_1	Alphapapillomavirus	8	y
KF482069.1_123_1346_1	Human_associated	7	y
KF574428.1_42_1229_1	Rhopapillomavirus 	3	y
KF574429.1_48_1235_1	Rhopapillomavirus 	2	y
KF741371.1_78_1277_1	Dyochipapillomavirus 	6	y
KF791917.1_135_1334_1	Human_associated	7	y
KF857586.1_96_1286_1	Treisetapapillomavirus 	4	y
KF922510.1_48_1256_1	Betapapillomavirus	5	y
KJ130020.1_96_1313_1	Gammapapillomavirus	8	y
KJ145795.1_198_1382_1	Alphapapillomavirus	10	y
KJ173785.1_117_1295_1	Treisepsilonpapillomavirus	8	y
KJ410351.1_132_1316_1	Lambdapapillomavirus	6	y
KJ452243.1_54_1178_1	Treiszetapapillomavirus 	3	y
KJ506870.1_129_1346_1	Human_associated	8	y
KJ637940.1_21_1226_1	Upsilonpapillomavirus	6	y
KJ719447.1_42_1205_1	Deltapapillomavirus	8	y
