Newick_label	status
SRR22462927_6462_ka_f_74-837_L_6462_L_427133_L_6462___216-1367_1	metagenome
SRR26848396_1981_ka_f_502-798_L_14120_L_14206_L_42309_L_43496___120-1310_1	metagenome
SRR7802309_1_ka_f_64-419_L_1_L_1___153-1352_1	skin metagenome
SRR13726052_3951_ka_f_11-665___135-1340_1	metagenome
ERR3209766_3734_ka_f_76-491_L_3734_L_3734___135-1340_1	metagenome
SRR13790117_6058_ka_f_97-491_L_591471_L_699116___87-1301_1	metagenome
SRR11304755_285840_ka_f_48-945_L_433509_L_1056700___36-1250_1	human skin metagenome
ERR3674534_89601_ka_f_45-602_L_89601_L_89601___93-1310_1	metagenome
ERR10942642_120924_ka_f_40-186_L_120924_L_120924___141-1346_1	Perodicticus potto ibeanus
SRR26208200_830113_ka_f_53-281_L_1001689_L_843656___63-1280_1	skin metagenome
SRR6216855_1616_ka_f_14-742___69-1286_1	human skin metagenome
SRR7802447_0_ka_f_30-554_L_31_L_745___0-1178_1	skin metagenome
SRR13789912_29274_ka_f_18-312_L_29274_L_29274___72-1274_1	metagenome
SRR11059661_1679_ka_f_1626-493_L_1679_L_1679___69-1193_1	Drosophila melanogaster
SRR14825199_4094_ka_f_48-715___75-1280_1	human skin metagenome
SRR13789207_6091_ka_f_194-471_L_6091_L_6091___90-1286_1	metagenome
SRR7802337_11018_ka_f_19-304_L_11018_L_11018___99-1208_1	skin metagenome
SRR19145070_36999_ka_f_4-400___114-1325_1	human gut metagenome
SRR13790114_165814_ka_f_21-882_L_165814_L_165814_L_431254___99-1310_1	metagenome
SRR12694846_1322770_ka_f_909-011_L_1496445_L_1163554___105-1313_1	Homo sapiens
SRR22765759_6891_ka_f_9-226___57-1259_1	Homo sapiens
SRR13789197_34606_ka_f_102-683_L_34606_L_34606___129-1334_1	metagenome
SRR21974026_749998_ka_f_15-960_L_310508___126-1334_1	human skin metagenome
SRR13789819_305835_ka_f_12-374___0-1184_1	metagenome
SRR20028133_10902_ka_f_10-424___150-1364_1	metagenome
SRR25936516_7739_ka_f_10-514_L_22578___60-1265_1	human skin metagenome
SRR17548765_1555673_ka_f_17-784_L_1555673_L_1555673___93-1310_1	human skin metagenome
SRR13789197_116637_ka_f_85-005_L_116637_L_116637___135-1349_1	metagenome
SRR13789839_2669_ka_f_16-185___138-1343_1	metagenome
SRR20985014_1849650_ka_f_6-000___93-1253_1	Ursus americanus
SRR25318379_54138_ka_f_56-641_L_585297_L_2087517_L_880589_L_2552958___102-1286_1	Ixodes ovatus
ERR11223860_712030_ka_f_1396-933_L_4490815_L_11609920_L_5611223_L_5611224_L_5611225___42-1223_1	Canis lupus familiaris
SRR8066612_800976_ka_f_47-257_L_2402404_L_227293___87-1274_1	Canis lupus
SRR18400698_20537_ka_f_106-301___84-1268_1	Canis lupus familiaris
SRR13235485_155797_ka_f_23-230_L_1382895___69-1247_1	Canis lupus familiaris
ERR11203069_3540346_ka_f_44-413_L_4886755_L_1717691___72-1253_1	Canis lupus familiaris
ERR11284570_621919_ka_f_2031-763_L_6438252_L_6441684_L_787910___72-1244_1	Canis lupus familiaris
ERR11284567_173521_ka_f_1310-052_L_6480890_L_6480891_L_681676___198-1382_1	Canis lupus familiaris
ERR11213956_1223340_ka_f_1882-574_L_2167026_L_2167027_L_6289913_L_6289914___108-1289_1	Canis lupus familiaris
ERR11271768_87624_ka_f_15-430_L_15196277___234-1412_1	Canis lupus familiaris
SRR13234696_75487_ka_f_11-284___69-1247_1	Canis lupus familiaris
SRR13376362_191915_ka_f_32-172_L_5951917_L_5951917___99-1271_1	Canis lupus familiaris
SRR18400216_50961_ka_f_12-009_L_50961_L_50961___60-1238_1	Canis lupus familiaris
SRR13235192_177217_ka_f_211-739_L_177217_L_177217___96-1274_1	Canis lupus familiaris
SRR13233423_322985_ka_f_9-137___48-1226_1	Canis lupus familiaris
SRR19174533_28675_ka_f_31-607_L_28675_L_28675_L_2154721___93-1325_1	Phacochoerus africanus
SRR19174522_234245_ka_f_33-027_L_234245_L_234245___138-1340_1	Phacochoerus africanus
SRR24956127_83390_ka_f_73-617_L_2035661_L_525791_L_2357662___45-1277_1	bovine metagenome
ERR10188009_10374_ka_f_7-625___99-1295_1	milk metagenome
SRR16937311_42765_ka_f_11-800_L_42765_L_42765___45-1244_1	Bos taurus
SRR4075526_1936_ka_f_67-737_L_61202_L_61219___51-1268_1	food fermentation metagenome
SRR17035119_206180_ka_f_32-241_L_206180_L_206180___144-1319_1	gut metagenome
SRR8437782_17784_ka_f_11-131_L_17784_L_17784___111-1274_1	Capra ibex
SRR24963189_595549_ka_f_11-298___60-1229_1	bovine metagenome
SRR24963419_788594_ka_f_21-217_L_788594_L_788594___120-1316_1	bovine metagenome
SRR24963196_123050_ka_f_20-394_L_4782298_L_4782298___60-1247_1	bovine metagenome
SRR19545153_36443_ka_f_11-512_L_6102814_L_6102814___141-1331_1	Rangifer tarandus caribou
SRR19545148_51759_ka_f_10-697___72-1250_1	Rangifer tarandus caribou
SRR17035102_23469_ka_f_64-311_L_1444328_L_1041166___111-1286_1	gut metagenome
SRR17035102_50223_ka_f_8-719_L_1041166___150-1334_1	gut metagenome
SRR19505656_591_ka_f_215-496_L_591_L_591___69-1247_1	tick metagenome
SRR24963462_472035_ka_f_43-001_L_284264_L_134496___144-1322_1	bovine metagenome
SRR24963500_872656_ka_f_72-334_L_1790974_L_490046_L_3516911___126-1328_1	bovine metagenome
SRR11657643_297240_ka_f_9-000___45-1235_1	Ovis aries
ERR10188212_289_ka_f_9-093___3-1190_1	milk metagenome
ERR10188211_15517_ka_f_6-200_L_4079_L_193932___24-1211_1	milk metagenome
SRR11569199_2444_ka_f_28-016_L_2444_L_2444___72-1277_1	skin metagenome
SRR26395417_738037_ka_f_198-467_L_738037_L_738037___138-1337_1	Potamochoerus larvatus
SRR19174523_80317_ka_f_69-245_L_80317_L_80317___111-1304_1	Phacochoerus africanus
SRR19174516_188544_ka_f_9-245_L_9720909_L_9720909___111-1298_1	Phacochoerus africanus
SRR19174525_18408_ka_f_51-839_L_18408_L_18408___72-1262_1	Phacochoerus africanus
SRR4201715_11_ka_f_20-206_L_100126_L_98730___162-1367_1	viral metagenome
SRR4201718_26205_ka_f_7-712___216-1427_1	viral metagenome
SRR4201715_304_ka_f_27-087_L_100126_L_98730___210-1424_1	viral metagenome
SRR25288764_21803_ka_f_13-960_L_74389___195-1427_1	bat metagenome
SRR12232778_17800_ka_f_19-792___126-1328_1	bat metagenome
SRR25288680_306181_ka_f_14-144___63-1256_1	bat metagenome
SRR25288807_3102_ka_f_8-247_L_219014_L_1167937_L_358654___60-1250_1	bat metagenome
SRR7734125_63559_ka_f_12-291_L_63559_L_63559___93-1271_1	metagenome
SRR25288841_297484_ka_f_17-365_L_351892_L_416489___138-1334_1	bat metagenome
SRR25288841_314141_ka_f_14-768_L_311170_L_463990_L_620599_L_1765121___87-1283_1	bat metagenome
SRR25288749_19367_ka_f_35-520_L_59024___75-1256_1	bat metagenome
SRR25288489_79383_ka_f_18-365_L_220645_L_1036691___75-1256_1	bat metagenome
SRR25288481_627694_ka_f_41-173_L_743053_L_816730___0-1163_1	bat metagenome
SRR4201715_3155_ka_f_31-945_L_3155_L_3155___123-1334_1	viral metagenome
SRR25288616_24264_ka_f_34-714_L_10978_L_257429_L_282283___54-1256_1	bat metagenome
SRR25288535_46_ka_f_23-142_L_46_L_46___102-1301_1	bat metagenome
SRR19115560_2307_ka_f_39-696___54-1280_1	bat metagenome
SRR25288688_374483_ka_f_42-620_L_545654_L_959202_L_2023210___81-1289_1	bat metagenome
SRR25288726_79248_ka_f_17-972_L_715767___102-1313_1	bat metagenome
SRR25288812_51618_ka_f_30-042_L_245218_L_20800___81-1295_1	bat metagenome
SRR25288506_3447_ka_f_17-050_L_199506_L_208658_L_471264___0-1163_1	bat metagenome
SRR25288772_123409_ka_f_11-359_L_546643_L_737410___0-1142_1	bat metagenome
SRR25288825_178043_ka_f_12-430_L_814548_L_733799___117-1298_1	bat metagenome
ERR1301521_1469_ka_f_15-866_L_1469_L_1469___51-1232_1	viral metagenome
ERR1301447_2108_ka_f_5-661___51-1232_1	viral metagenome
ERR1301530_3971_ka_f_10-046___168-1343_1	viral metagenome
SRR25288812_64671_ka_f_12-646_L_920186_L_1036499___0-1157_1	bat metagenome
ERR1301851_4027_ka_f_32-367_L_4027_L_4027___51-1223_1	viral metagenome
SRR25288757_173498_ka_f_10-989___264-1448_1	bat metagenome
SRR9703484_10495_ka_f_65-924___123-1334_1	Monophyllus redmani
SRR14860617_1712913_ka_f_7-098___57-1262_1	gut metagenome
SRR25256542_15341_ka_f_16-988_L_15341_L_15341___45-1244_1	Manidae sp.
SRR25256569_9341_ka_f_455-319_L_9341_L_9341___54-1244_1	Manidae sp.
SRR25256535_79630_ka_f_302-271_L_79630_L_79630___93-1283_1	Manidae sp.
SRR25256617_433822_ka_f_28-843_L_433822_L_433822___51-1241_1	Manidae sp.
SRR25256529_228985_ka_f_11-800_L_1739997_L_3462011___0-1124_1	Manidae sp.
ERR10972965_850882_ka_f_787-436_L_850882_L_850882___60-1253_1	Tarsius dentatus
ERR3298753_352415_ka_f_10-866___48-1241_1	Marmota marmota marmota
SRR25288767_525095_ka_f_55-303_L_1485400_L_3122939_L_1537365_L_1537366___9-1205_1	bat metagenome
SRR25288772_849_ka_f_30-102_L_382650_L_410344_L_855875___138-1340_1	bat metagenome
SRR24465286_394658_ka_f_52-210_L_394658_L_394658___132-1316_1	Urocyon cinereoargenteus
SRR14739427_12287_ka_f_6-746___45-1229_1	Spilogale pygmaea
SRR20730026_148687_ka_f_19-885_L_148687_L_148687___63-1232_1	Peromyscus maniculatus
SRR3672741_4018_ka_f_2750-056_L_29840_L_29841_L_7655_L_16227___51-1226_1	Mycobacterium lepromatosis
SRR20730051_44728_ka_f_40-928___87-1271_1	Peromyscus maniculatus
SRR16611435_9052_ka_f_192-566_L_9052_L_9052___249-1427_1	Peromyscus maniculatus
SRR24956270_4526557_ka_f_13-147___69-1256_1	bovine metagenome
SRR8631965_1105606_ka_f_13-526_L_1105606_L_1105606___69-1250_1	Sus scrofa
SRR19117908_684125_ka_f_6-962___93-1262_1	Budorcas taxicolor
SRR12596806_17216_ka_f_11-744_L_17216_L_17216___75-1250_1	Prunus mira
DRR452111_551228_ka_f_11-322_L_1153038_L_1153038_L_1153038_L_1153038___96-1262_1	bovine gut metagenome
SRR24963268_167972_ka_f_13-166___126-1298_1	bovine metagenome
ERR2985417_92987_ka_f_10-325_L_92987_L_92987___51-1226_1	Bos taurus
KP769769-1_78_1268_1	Homo sapiens
MF588757-1_54_1325_1	Homo sapiens
MH777173-2_81_1271_1	Homo sapiens
KR816168-1_159_1337_1	Homo sapiens
HM639492-1_123_1298_1	Homo sapiens
LR861871-1_120_1301_1	Homo sapiens
AJ620209-1_165_1346_1	Homo sapiens
GQ244463-1_123_1319_1	Homo sapiens
AB793779-1_99_1280_1	Homo sapiens
GQ246950-1_129_1313_1	Homo sapiens
KC470286-1_78_1259_1	Homo sapiens
EU918767-1_123_1304_1	Homo sapiens
KP692124-1_72_1277_1	Homo sapiens
GU117634-1_99_1307_1	Homo sapiens
MH777355-2_69_1277_1	Homo sapiens
HM999990-1_138_1343_1	Homo sapiens
MF588703-1_141_1343_1	Homo sapiens
HM999991-1_69_1277_1	Homo sapiens
JF906559-1_141_1349_1	Homo sapiens
KR816180-1_141_1346_1	Homo sapiens
KR816176-1_141_1355_1	Homo sapiens
GU117629-1_75_1292_1	Homo sapiens
MF588698-1_57_1274_1	Homo sapiens
BK066346-1_99_1316_1	Homo sapiens
MF588699-1_138_1355_1	Homo sapiens
GQ845445-1_66_1283_1	Homo sapiens
KR816173-1_135_1352_1	Homo sapiens
MH777273-2_138_1343_1	Homo sapiens
MF588702-1_138_1343_1	Homo sapiens
LR861990-1_147_1349_1	Homo sapiens
LR862035-1_138_1343_1	Homo sapiens
MF588696-1_222_1436_1	Homo sapiens
GQ845443-1_84_1295_1	Homo sapiens
HM999994-1_90_1301_1	Homo sapiens
GU117633-1_117_1328_1	Homo sapiens
GU117630-1_90_1307_1	Homo sapiens
KP692115-1_57_1262_1	Homo sapiens
ON482334-1_57_1262_1	Homo sapiens
KR816171-1_90_1301_1	Homo sapiens
JX413107-1_90_1298_1	Homo sapiens
KF006400-1_93_1304_1	Homo sapiens
MF588760-1_105_1310_1	Homo sapiens
MF588695-1_78_1289_1	Homo sapiens
KT698168-1_78_1289_1	Homo sapiens
AJ620210-1_108_1316_1	Homo sapiens
MH777383-2_90_1307_1	Homo sapiens
MW311489-1_135_1352_1	Homo sapiens
KP692117-1_78_1307_1	Homo sapiens
KR816167-1_93_1322_1	Homo sapiens
MH777202-2_168_1397_1	Homo sapiens
MF588707-1_78_1310_1	Homo sapiens
BK066485-1_87_1316_1	Homo sapiens
HM999999-1_168_1394_1	Homo sapiens
MH777289-1_135_1364_1	Homo sapiens
GQ845441-1_60_1292_1	Homo sapiens
MH777186-2_78_1307_1	Homo sapiens
JX413106-1_132_1361_1	Homo sapiens
MH777195-2_78_1307_1	Homo sapiens
KC862317-1_87_1319_1	Homo sapiens
MH777224-2_60_1280_1	Homo sapiens
KP692175-1_78_1289_1	Homo sapiens
MF588708-1_165_1379_1	Homo sapiens
KR816174-1_96_1307_1	Homo sapiens
MH777226-2_135_1349_1	Homo sapiens
MF509816-1_93_1307_1	Homo sapiens
MF588705-1_144_1358_1	Homo sapiens
MF588690-1_60_1265_1	Homo sapiens
HM999992-1_102_1334_1	Homo sapiens
HM999988-1_105_1325_1	Homo sapiens
HM999993-1_84_1304_1	Homo sapiens
JF966374-1_105_1328_1	Homo sapiens
MH777208-2_81_1304_1	Homo sapiens
JN211193-1_105_1328_1	Homo sapiens
MH777309-2_66_1289_1	Homo sapiens
MH777206-2_105_1325_1	Homo sapiens
KR816169-1_93_1316_1	Homo sapiens
MF588714-1_78_1304_1	Homo sapiens
JX413105-1_105_1334_1	Homo sapiens
AB646346-1_105_1328_1	Homo sapiens
MF588710-1_126_1337_1	Homo sapiens
MF588711-1_114_1328_1	Homo sapiens
MH777333-1_48_1256_1	Homo sapiens
MF588712-1_48_1256_1	Homo sapiens
MH777288-2_48_1256_1	Homo sapiens
FJ804072-1_48_1259_1	Homo sapiens
MF588694-1_48_1259_1	Homo sapiens
MH777159-2_48_1259_1	Homo sapiens
MH777234-1_48_1259_1	Homo sapiens
MF509820-1_105_1316_1	Homo sapiens
MH777243-2_117_1328_1	Homo sapiens
MH777230-1_105_1319_1	Homo sapiens
MH777209-1_81_1295_1	Homo sapiens
MF509821-1_105_1319_1	Homo sapiens
GU233853-1_105_1319_1	Homo sapiens
MH777229-2_66_1277_1	Homo sapiens
MF588709-1_105_1319_1	Homo sapiens
BK066659-1_105_1319_1	Homo sapiens
JF966376-1_78_1292_1	Homo sapiens
MH777263-1_105_1316_1	Homo sapiens
MH777228-1_111_1310_1	Homo sapiens
MH777328-2_123_1322_1	Homo sapiens
MF588728-1_123_1325_1	Homo sapiens
MH777264-2_123_1319_1	Homo sapiens
HM999989-1_123_1322_1	Homo sapiens
MH777177-1_123_1325_1	Homo sapiens
JF966371-1_141_1358_1	Homo sapiens
KJ130020-1_96_1313_1	Homo sapiens
MH777261-2_93_1310_1	Homo sapiens
KJ506870-1_129_1346_1	Homo sapiens
MF588747-1_156_1376_1	Homo sapiens
BK066647-1_129_1349_1	Homo sapiens
KM085343-1_135_1367_1	Homo sapiens
MF588786-1_135_1364_1	Homo sapiens
MF588749-1_135_1352_1	Homo sapiens
MF588748-1_141_1355_1	Homo sapiens
MH172377-1_60_1277_1	Homo sapiens
HM999996-1_87_1313_1	Homo sapiens
MH777201-2_141_1364_1	Homo sapiens
MH777389-2_90_1301_1	Homo sapiens
BK066896-1_69_1280_1	Homo sapiens
KC862318-1_96_1313_1	Homo sapiens
MH777270-1_96_1307_1	Homo sapiens
MH777351-2_144_1355_1	Homo sapiens
HG530535-1_69_1277_1	Homo sapiens
KP692118-1_147_1352_1	Homo sapiens
MH777298-2_138_1340_1	Homo sapiens
JF966373-1_72_1274_1	Homo sapiens
MF588744-1_93_1292_1	Homo sapiens
MH777385-2_69_1286_1	Homo sapiens
MH777327-2_96_1301_1	Homo sapiens
JX429973-1_90_1295_1	Homo sapiens
MF588775-1_138_1334_1	Homo sapiens
MH777287-2_141_1340_1	Homo sapiens
MH777249-1_201_1400_1	Homo sapiens
MF588689-1_171_1370_1	Homo sapiens
MF588730-1_129_1328_1	Homo sapiens
MH777170-2_99_1298_1	Homo sapiens
MH777325-2_132_1331_1	Homo sapiens
KF791917-1_135_1334_1	Homo sapiens
MH777171-1_120_1313_1	Homo sapiens
MH777203-2_141_1331_1	Homo sapiens
MH777314-2_69_1268_1	Homo sapiens
MF588731-1_132_1325_1	Homo sapiens
MH777294-2_72_1289_1	Homo sapiens
MF588756-1_108_1322_1	Homo sapiens
MH972563-2_96_1310_1	Homo sapiens
MH777162-2_81_1301_1	Homo sapiens
MH777313-2_84_1301_1	Homo sapiens
MF588734-1_90_1307_1	Homo sapiens
MH777192-2_99_1313_1	Homo sapiens
KF006399-1_87_1295_1	Homo sapiens
MF588740-1_72_1280_1	Homo sapiens
MG063749-1_87_1307_1	Homo sapiens
MF588742-1_72_1289_1	Homo sapiens
KF482069-1_123_1346_1	Homo sapiens
MH777178-2_90_1304_1	Homo sapiens
MH777380-2_87_1304_1	Homo sapiens
MH777176-2_147_1358_1	Homo sapiens
MF588736-1_147_1364_1	Homo sapiens
MF588737-1_114_1331_1	Homo sapiens
MF588738-1_114_1331_1	Homo sapiens
MF588739-1_147_1361_1	Homo sapiens
MH777241-1_171_1382_1	Homo sapiens
KC311731-2_87_1301_1	Homo sapiens
MF588753-1_69_1286_1	Homo sapiens
MF588726-1_132_1337_1	Homo sapiens
HM999998-1_135_1343_1	Homo sapiens
MF588724-1_153_1361_1	Homo sapiens
HG421739-1_126_1331_1	Homo sapiens
HM999987-1_153_1358_1	Homo sapiens
BK066395-1_93_1295_1	Homo sapiens
MH777163-2_93_1310_1	Homo sapiens
MF588725-1_93_1307_1	Homo sapiens
MH777368-1_129_1340_1	Homo sapiens
MG869605-1_99_1313_1	Homo sapiens
KR816179-1_93_1304_1	Homo sapiens
KC113191-1_162_1373_1	Homo sapiens
MH777207-2_93_1304_1	Homo sapiens
MF588727-1_135_1346_1	Homo sapiens
